Input,Product,Quantity,Tags
1 box of crayons (24 count),crayons,1,box
2 packs of eraser caps (12 count),pack eraser caps,2,packs
1 set of earbuds,earbuds,1,set
1 pair of children's scissors,children scissors,1,pair
12 glue sticks,glue sticks,12,
1 pack of dry erase markers (4 pack),dry erase markers,1,pack
1 pack of notebook paper (wide rule),notebook paper,1,pack
4 pocket folders (plastic),pocket folders,4,
1 pack of highlighters (4 count),highlighters,1,pack
"8 ""cow"" composition notebooks",cow composition notebooks,8,
1 one -inch 3 ring binder,one inch ring binder,1,
1 pack of 5 tab dividers,tab dividers,1,pack
