Input,Product,Quantity,Tags
11119
"FALDPSJS2 SPRAY,OUSTER.OUSTOFF JR 2PK",SPRAY OUSTER,2PK,
OMT6601 COFFEE.K-CUP.REO VARIETY,COFFEE CUP VARIETY,1,
"01.11 COFFEE.KCUP.FLV VAR SPK.CVC,FV,HZWM0.2211X",COFFEE VAR,01,
SAN33960 PEN. OEL.SIONO.207.BK
TOP20316 PAD.NRULED.LTR.4IPK.WH,PAD,1,
O1•• PAPER.LOL.9BRT.WE,PAPER,1,
"MTH01179 CLEANER. DISH.DETRONT,LMYL",CLEANER DISH,Multiple,
SHRF41442 SHRF FANCY HONEY BEAR SQUEEZE. 12 EAICT,FANCY HONEY BEAR SQUEEZE,1,
BRTTN316C TONER.CYN FML467O36K,TONER,1,
OTY
7
3
min;;; I,min,1,
UIRT PRICK OcT PRIG[,PRICK PRIG,1,
1311 1399
1491 4497
1491 4497
23.76 23 79
16.41 1646
14.46 1446
6.91 6.9
6.9 696
124.9 12496
