TL.x,TL.y,BR.x,BR.y,WORD
349,556,1100,1100,5th Grade Supply List 
350,758,1066,1066,6 - Spiral Notebooks 
338,848,886,886,2 - 3 packs Glue 
338,946,348,348,1 
913,940,923,923,/ 
378,952,429,429,- 2 
984,950,1114,1114,Glue 
492,969,693,693,packs 
1150,977,1329,1329,Sticks 
761,1012,1160,1160,Highlighters 
311,1042,617,617,Scissors 
352,1149,931,931,Whole Puncher 
320,1260,885,885,Green Ink Pen 
297,1368,1001,1001,Pencil Sharpener 
300,1478,1517,1517,2 packs College Rule Notebook 
289,1592,584,584,1 ream 
1550,1591,1741,1741,Paper 
624,1615,1092,1092,Copy Paper 
282,1713,1048,1048,3 boxes of Tissues 
282,1833,902,902,Hand Sanitizer 
269,1966,1362,1362,2 Composition Notebooks 
257,2093,1001,1001,2 - 2 inch Binders 
238,2225,560,560,Pencils 
230,2341,1629,1629,Pack of Pens any color ( Science ) 
234,2484,2730,2730,Coloring Utensils ( Colored Pencils preferred for several classes ) 
200,2629,770,770,Index Cards 
906,2754,1132,1132,Wipes 
219,2772,832,832,Antibacterial 
1467,2870,1505,1505,) 
940,2890,1462,1462,Math Classes 
848,2893,886,886,( 
528,2905,834,834,Marker 
221,2916,433,433,Expo 
806,3041,1167,1167,Dividers 
211,3060,1169,1169,5 Notebook Towels 
297,3187,825,825,Rolls Paper 
212,3190,259,259,2 
2707,3216,3021,3021,to schoo 
2285,3241,2686,2686,set to bring 
2066,3253,2255,2255,own 
1809,3269,2055,2055,there 
1424,3291,1800,1800,will need 
813,3329,1343,1343,All students 
715,3335,756,756,- 
2987,3335,3029,3029,u 
202,3364,724,724,Earphones 
2543,3364,2955,2955,for keeping 
1790,3412,2538,2538,will be responsible 
1314,3444,1721,1721,students 
1045,3462,1293,1293,. The 
737,3481,1054,1054,brands 
219,3515,693,693,expensive 
