• AT&T,,
8:22 PM,,
school-supply-list.com,,
62% •,,
- 1... 12 -#2 Pencils,Pencils,1
1 2. 2 - Glue Sticks,Glue Sticks,1
1 3. 1 -White Glue,White Glue,1
1 4. 1 Pink Eraser,Pink Eraser,1
1 5. 1- White Eraser,White Eraser,1
1 6. 1- Pkg. Washable Felt,Washable Felt,1
Markers,Markers,Multiple
• 7. 1 Pair Scissors,Scissors,7
1 8. 1 Pencil Case,Pencil Case,1
1 9. 10 - Pocket Folders,Pocket Folders,1
",19. 2 - Pkg. Lined Paper", Lined Paper,19
11. 1- Pkg. Plain Paper,Plain Paper,11
112. 10 - Blue Pens,Blue Pens,112
13. 3 -Red Pens,Red Pens,13
",14. -Ruler",Ruler,14
",15. 1 Pkg. Pencil Crayons",Pencil Crayons,15
1,,
O .,,
