4 44 4 4 4,,
"o. a, o. c:",,
Qs/,,
"Q., ', a. Q. o. o c o, o, p.",,
4 4 : 4 4 4 4 4 4' 4 t,,
4',,
4,,
4,,
4,,
ts-,,
Cl,,
4,,
4,,
4,,
a►,,
Indian Lake Middle School,,
6th Grade Supply List,,
2016-2017,,
2 packs of pencils,pencils,2
Colored pencils,Colored pencils,Multiple
6 pocket folders,pocket folders,6
4 packs of Expo markers,Expo markers,4
4 boxes of tissues,tissues,4
2 containers of Clorox wipes, Clorox wipes,2
2 packs of loose leaf paper,loose leaf paper,2
1 pack of Post -It notes, Post notes,1
1 roll of paper towels,roll paper towels,1
"2 sets of Index cards (1 white, 1 colored)",Index cards,2
2 or more glue sticks, glue sticks,2
Headphones,Headphones,Multiple
Pencil bag,Pencil bag,1
Pens,Pens,Multiple
Scissors,Scissors,Multiple
Erasers,Erasers,Multiple
�,,
.,,
Z,,
Z,,
P,,
4,,
t.,,
Z,,
4,,
v,,
0,,
i,,
4,,
Q,,
4,,
O Z,,
4,,
O,,
4,,
C,,
o Z,,
0,,
4,,
t • P: G. ? ? ? C? C,,
4 4 4 4 4 4 4 4 v 4 4 4 4 4 4 4 4,,
