Brand Name Product DesoliZ n Kit Includes,,
"Cbrox Wipes, Disinfecting. Beath Free, Lemon Scent, Cristr, 35 Ct 1 Ea",,
"Cline Folder, Poly, 2 Pocket, Blue 1 Ea",Cline Folder Pocket Blue,1
"Roaring/Comet Graph Paper, Spiral No Mtn,* 4 Win, 11""x9"", 100 Ct, 3 HP 2 Ea",Roaring/Comet Graph Paper,Multiple
"Staples Glue Stick, Staples Brand, Washable, White, .26 oz. 6 Ea",Staples Glue Stick,Multiple
"Staples Erico*s, Pendi Cap, Latex Free, 12/Pk 2 Pk",Staples Erico,Multiple
"Staples Composition Book, Marble Cover, WR, 100 Sheets, BLl( 3 Ea",Staples Composition Book,100
"Staples Filler Paper, Wide Rule, 10.5"" x 8"", 120/Pk 3 Pk",Staples Filler Paper,Multiple
"Avery Dividers, 3 Ring, Write On, 5 -Tab, 11"" x 8.5"" 4 St",Avery Dividers,Multiple
"cu Rcoorcements, Round, White, 1/4 100/Pk 1 Pk",Round White,100
"Staples Pen, Stick, Medium Point, Blue 2 Ea",Staples Pen,Multiple
"Staples Pencils, 12. Unsharpened. All Wood, Dz. 2 Pk",Staples Pencils Unsharpened All Wood,Multiple
"Prang Pencils, Colored, 7"", Sharpened, 12/Set 1 St",Pencils Colored Sharpened Set,Multiple
"Esselte Index Cards, 3"" x 5"", Ruled, 100/Pk, White 2 Pk",Index Cards Ruled 100 White,Multiple
"Staples Highlighters, Chisel Tip, Yw/8l/Gn/Pk/Or/Pur, 6/pk 1 Pk",Staples Highlighters,Multiple
"Staples Pencil !'D, Few', Multi-Pkt, 11"" x 9"", 3 Hole, Asst. 1 Ea",Staples Pencils,Multiple
"tlaped Sharpener, Pencil & Crayon, Obi Barrel, Canister 1 Ea",tlaped Sharpener,Multiple
"So ales Fadal Tissue. '5c!!, Hypo-Allergentc, 200 0. 2 8x",So ales Fadal Tissue,200
"Expo 2 Markers, Dry Erase, Fine, Low Odor, Asst. 4/Pk. 1 pk",Expo 2 Markers,Multiple
"Wilson Jones Binder, 3 Ring, Heavy Duty, View, 1"", Bled 1 Ea",Wilson Jones Binder,Multiple
"Wilson Jones Binder, 3 Ring, Heavy Duty, View, 1"", White 1 Ea",Wilson Jones Binder,Multiple
"Amy Binder, 3 Ring, Durable, 1"", EZ Ring, Red 1 Ea",Amy Binder,Multiple
"Avery Binder, 3 Ring, Durable, 1"", EZ Ring, Green 1 Ea",Avery Binder,Multiple
"Wilson Jones Binder, 3 Ring, Heavy Duty, View, 2"", White 1 Ea",Wilson Jones Binder,Multiple
"C.Vne Expanding File, Fabric Poly, Letter, 13 Pckt, Zlp,Blue 1 Ea",C.Vne Expanding File,Multiple
"Bonus Items �, ""Money From Home"" Envelopes & Student ID Labels 1 Ea",Bonus Items,Multiple
Total Delivered Kit Cost: $90.00,Total Delivered Kit Cost,0
