Kindergarten supply List,,
Warner Giris Lea,Warner Lea,1
201,,
#NAME?,,
7 20 School Year,,
• b,,
Rook gooag (daughter',Rook,1
• o k oks ( s,,
Warne labeled on the IN,labeled the,1
"• 2 b 2 - red, 1 - bl SIDE)",red SIDE,2
1 b es of c (8 coup ' 1 'Yellow),,
° of marker t thrck and 24 count thi,marker,1
•,,
• 1 box of d erase m n),erase,1
• 8 glue stick markers,glue stick markers,8
• 1 bottle of Elmer's sch,Elmer sch,1
• 1 pock o ool glue,pock glue,1
f multi -colored constructs,multi colored constructs,Multiple
• 4 - 8 oz. bottles of hands • on paper,hands paper,4
• 1 Clorox disinfecting,Clorox disinfecting,1
nfecting wipes,wipes,Multiple
• 1 ream of white copy,ream copy,1
tissues,tissues,Multiple
• 5 boxes of tiss paper,paper,5
• 3 rolls of paper towels,rolls paper towels,3
• 1 box of Ziploc bags (sandwich,Ziploc bags,1
pencils 'quart or gallon size),,
• 2 boxes of Laddie,Laddie,2
p Is with erasers,,
• 2 boxes of Laddie pencils without erasers,Laddie pencils without erasers,2
• 1 pair of Fiskar scissors,Fiskar scissors,1
• 1 pair of headphones (no earbuds) labeled with your,headphones,1
child's name,,1
• 1 complete change of clothing in a plastic bag labeled with, plastic bag,1
"your child's name (does,riot have to be dress code)",,
