Quantity Brand Name,,
3 Ea Mead,Mead,3
1 Ea Mead,Mead,1
1 Pk C -Line,Line,1
1 Ea C -Line,Line,1
1 Ea SchoolKidz,,
4 Ea Staples,Staples,4
4 Dz Dixon,Dixon,1
1 Pk Staples,Staples,1
2 Ea. Maped,Maped,
1 Pr Fiskars,Fiskars,
4 Ea Papermate,Papermate,
3 Bx Crayola,Crayola,3
2 Ea Elmer's,Elmer,2
1 St Trend/Lng Plygr,Trend,1
3 Pk Staples,Staples,3
1 Pk . Bazic,Bazic,
1 Bx Scotties,Scotties,1
1 RI,,
3 Pk,,
1 Bx,,
1 Bx,,
1 Bx,,
1 Pk,,
2 Ea,,
1 Ea,,
Bounty,,
Kimberly Clark,,
Glad,,
SchoolKidz,,
Glad,,
C -Line,,
Clorox,,
Bonus Items,,
Kit Component Listing,,
Elementary School,,
North Beach 00Pairie Ave,,
Miami Beach FL 33140,,
Item Description,,
"Comp Book, 112"", Primary",Comp Book Primary,Multiple
"Joumal, Marble Cvr, Bik, 100 Sht",,
"Handwriting Comp Book, Primary, Marble Cvr, 100 Sht Blue",,
"Folders, Poly, 2 Pocket, 4Pk, Be/Rd/Gn/Yw",,
"'folder, Poly, 2 Pocket, Orange",folder Pocket,1
"Pencil Case, Fabric, 3 -Hole w/Grommets, 10""x 6"", Asst.",,
"Pen, Stick, Medium Point, Red",Pen Stick,1
"Pencils, #2, Ticonderoga, Unsharpened, Dz.",Pencils,Multiple
"Highlighters, Chisel Tip, Yw/BI/Gn/Pk/Or/Pur, 6/pk",,
"Sharpener, Pencil & Crayon, Dbl Barrel, Canister",Sharpener Pencil,1
"Scissors, 'For Kids', 5"", Blunt Tip, Latex Free, Asst.",,
"Eraser, Vinyl, 'Magic Rub', Latex Free, Large",Eraser,1
"Crayons, Crayola, Tuck Box, 24/Box",,
"Glue Stick, Elmer's Washable, Purple, Dries Clear, .21 oz.",Glue Stick,1
"Flash Cards, 0-12, Add., 3.25"" x 5.25"", 55 Cards",,
"BULK Copy Paper, 20 Ib, 8.5"" x 11"", 500/Pk, White",Copy Paper,1
"Copy Paper, 20 Ib, 8.5"" x 11"", 80/Pk, Asst. Brights",Copy Paper Asst Brights,Multiple
"ORM-D Hand Sanitizer, Gel, Pump, 8 oz. ---",Hand Sanitizer Gel Pump,1
"Facial Tissue, 'Scotties', Hypo -Allergenic, 200 Ct.",,
"Paper Towels, Roll, Bounty, 2 Ply, 44 Sheets",,
"BULK Wipes, Baby, 'Huggies', FF, Refill, 184 Ct.",,
"Storage Bags, Zipper, Sandwich, 50 Ct.",Storage Bags Zipper Sandwich,1
"Storage Bags, Economy Zip, Snack Size, 50 Ct.",,
"Storage Bags, Zipper, Gallon, 20 Ct.",Storage Bags Zipper Gallon,1
"Sheet Protectors, Letter Size, Clear, 10/Pk",Sheet Protectors,1
"Wipes, Disinfecting, Bleach Free, Lemon Scent, Cnstr, 35 Ct",,
"Free ""Money From Home"" Envelopes & Student ID Labels",,
Description:,,
Account #:,,
Kit Number.,,
1st Grade,,
34713,,
3471301 ALL,,
