Please keep in mind that the Third Grade Sunnly List
se are community supplies and will be shared with the
entire class. Please do not write your child's name on an
y of the items.
SCHOOL SUPPLIES
A Backpack (No Wheels),Backpack,1
8 Composition Notebooks (Black & White),Composition Notebooks,8
6 Boxes of 12 Pencils (#2),Pencils,6
4 Packs of Post -its,Post its,4
4 Boxes of Tissue,Tissue,4
"8 Two -Pocket Folders (solid colors- Example:red, blue, green, yellow, purple etc)",Two Pocket Folders,8
Study Pl z. T Folder (For homework),Study Folder,1
1 Bottle of Hand Sanitizer,Hand Sanitizer,1
1 Package of Wet Wipes,Wet Wipes,1
2 Packs of markers (pack of thin markers and one pack thick),markers,2
2 highlighters,highlighters,2
1 Box of 24 Crayons,Crayons,1
1 Box Colored Pencils,Colored Pencils,1
1 Box of Ziploc Bags -(Large Gallon Size: Boys purchase and Small Quart Size: Girls,Ziploc Bags,1
purchase)
1 Pack of Large Glue Sticks,Pack Large Glue Sticks,1
1 Pack of Expo dry erase markers,Expo dry erase markers,1
1 -Headphones,Headphones,1
"1- Spiral Sketchbook 8.5"" x 11"" or the largest 9"" x 12"" — 30 sheets or more (for Art)",Spiral Sketchbook,1
(These sketchbooks are sold at the $1 store or art stores such as A.C. Moore)
1 -two pocket green folder (for Art),two pocket folder,1
Pencils,Pencils,Multiple
Crayons,Crayons,Multiple
Markers,Markers,Multiple
Glue Stick,Glue Stick,1
Scissors,Scissors,Multiple
Teaneck Library Card,Library Card,1
