Holy Cross Middle School Supply List
**Supply List is subject to change
English/Literature Supply List
"• (1) 3 -Ring, 1 -Inch binder",3 Ring 1 Inch binder,3
• Loose leaf paper (wide -ruled),Loose leaf paper,1
• (1) Pack of 5 dividers,5 dividers,1
"• (1) Composition Notebook (wide ruled,",Composition Notebook,1
70 sheets),sheets,70
• (1) Spiral notebook,Spiral notebook,1
• No. 2 Pencils (mechanical or regular),Pencils,Multiple
• Blue or Black Ink Pens,Ink Pens,Multiple
• Colored Pencils,Colored Pencils,Multiple
• (1) Highlighter,Highlighter,1
• (1) Red pen,pen,1
• (1) Box of tissues,tissues,1
• Clorox Wipes,Clorox Wipes,Multiple
Social Studies
"• 1 -inch, 3- Ring Binder, Solid Color",1 inch 3 Ring Binder Solid Color,1
"• Folder with Brads and Pockets, Solid",Folder,1
Color Same as Binder
• Tab dividers (Pack of 5),Tab dividers,Multiple
• Notebook Paper (Wide Ruled),Notebook Paper,1
• Black Ink Pens,Ink Pens,Multiple
• Colored Pencils,Colored Pencils,Multiple
• (2 or more) Red Ink Pens,Ink Pens,2
• Highlighters,Highlighters,Multiple
• 3X5 Index Cards (lined),Index Cards,Multiple
• Box of Tissues,Tissues,Multiple
Math Suonly List:
• 3 -Hole Punched Double Sided Graph,Hole Punched Double Sided Graph,3
• (1) lin. 3 -Ring Binder, 3 ring binder,1
• (2) composition graph notebooks,composition graph notebooks,2
• #2 Pencils,Pencils,2
• Red Pen,Pen,1
• Yellow Highlighter,Highlighter,1
"• Protractor, Compass, and Pair of",Protractor Compass,1
Scissors,Scissors,Multiple
• (1) Pack of Dividers,Dividers,1
• 10 plastic sheet protector covers,plastic sheet protector covers,10
• 12 -count colored pencils,colored pencils,12
• Box of Kleenex,Kleenex,1
• Anti -Bacterial Hand Wipes,Anti Bacterial Hand Wipes,Multiple
Science
• Composition Notebook (100 pages),Composition Notebook,1
• Folder with pockets,Folder,1
• Loose -Leaf Paper,Loose Leaf Paper,1
• Pens or Pencils,Pencils,Multiple
• Markers,Markers,Multiple
• Colored Pencils,Colored Pencils,Multiple
• Crayons,Crayons,Multiple
• Glue Stick,Glue Stick,1
• Scissors,Scissors,Multiple
• Box of Tissues,Tissues,Multiple
• Cloth book cover, cloth book cover,1
• Clorox Wipes,Clorox Wipes,Multiple
• Pack of Construction Paper (Multi -,Construction Paper,1
Colored)
lof 2
