Mcrr
Ci1A1r[:i z A U.
t l;c)c)L
ALL ( RADES STUDENT SUPPLY LIST
STUDENT DAILY USE:
tit
g
5- composition notebooks,composition notebooks,5
5- two -pocket folders,two pocket folders,5
1- pack block erasers,block erasers,1
1- pack of pencils,pencils,1
1- pack of pens (black or blue) — BRING TO SCHOOL ONLY 2 AT .A TIME, pens,1
1- pencil sharpener (non -electric and must hold shavings),pencil sharpener,1
1- pack highlighters — BRING TO SCHOOL ONLY 2 AT A TIME,highlighters,1
1 PLAIN BLACK BACKPACK,PLAIN BACKPACK,1
*Items purchased in packs should only be used to replenish as needed*
TO BE LEFT AT SCHOOL:
4 1 - box of 144 number 2 pencils,144 number 2 pencils,4
g 1 - pack of pens (black or blue), pens,1
g 2 - boxes of Kleenex,Kleenex,Multiple
a 2 - hand sanitizers (12 ounce minimum each),hand sanitizers,Multiple
FOR THE HOME:
ai 1 - box of 48 or more number 2 pencils, number 2 pencils, 1
• 1- pack of pens (black or blue),pens,1
pac
"kages • 2 - acka es of lined, index cards (FOR STUDYING)", index cards, 2
g 1 - clear protractor,clear protractor,1
"g 1 pack washable markers, classic colors (FOR PROJECTS)",washable markers classic colors,1
