2015-16
PRE -KINDERGARTEN
2 facial tissue (large box),facial tissue,2
1 pkg. waxed crayons (8 colors),waxed crayons,1
1 box of 8 washable markers,washable markers,1
Box of water -color paints with brush (8 basic colors),water color paints,Multiple
12x18 manila or asst. construction paper (50 count),asst construction paper,1
#2 pencils (12),#2 pencils,2
1 bottle white glue (8oz.),glue,1
Scissors (blunt point),Scissors,Multiple
1 box 'ziploc' type bags,ziploc type bags,1
2 glue sticks,glue sticks,2
1 Green hard plastic folder with prongs,hard plastic folder,1
1 Paper folder with brads,Paper folder,1
1 box wipes (le: Clorox or baby wipes),wipes,1
KINDERGARTEN
1 facial tissue (large box),facial tissue,1
1 12x18 Manila paper (50 count),Manila paper,1
12x18 Asst. construction paper (50 count),Asst construction paper,1
#2 pencils (12),#2 pencils,2
4 glue sticks,glue sticks,4
1 bottle white glue (4oz.),glue,1
Water -based markers (8 count),Water based markers,Multiple
2 Boxes waxed crayons (24 count),waxed crayons,2
2 pocket folder,pocket folder,2
2 Spiral wide -ruled notebook,Spiral wide ruled notebook,2
Scissors (sharp point),Scissors,Multiple
Box of water -color paints with brush,water color paints,Multiple
2 comp book,comp book,2
"1 box ziploc - freezer -type"" bags — quart or gallon size",ziploc freezer type bags quart size,1
1 box wipes (ie: Clorox or baby wipes),wipes,1
2 pink bevel erasers,erasers,2
1 pkg. dry erase markers,dry erase markers,1
1 medium pencil box,medium pencil box,1
FIRST GRADE
#2 pencils (24),pencils,2
3 facial tissue (large box),facial tissue,3
1 pkg. dry erase markers,dry erase markers,1
"2 white glue (washable, 8 oz.)",glue,2
4 glue sticks,glue sticks,4
2 12x18 pkgs. white paper (50 count),paper,2
1 12x18 pkgs. Asst. construction paper (50 count),Asst construction paper,1
2 composition books with lines,composition books,2
"2 Spiral notebooks (70 count, wide rule)",Spiral notebooks,2
2 Waxed crayons (24 count),Waxed crayons,2
Scissors (sharp point),Scissors,Multiple
"3 pocket folders red, green & yellow (no brads)",pocket folders,3
1 box of (broadline) washable markers,washable markers,1
2 pink bevel erasers,bevel erasers,2
"1 box'ziploc - freezer -type"" bags — quart or gallon size",ziploc freezer type bags quart size,1
Colored pencils -12 count box,Colored pencils,Multiple
1 small pencil box,small pencil box,1
1 box wipes (ie: Clorox or baby wipes),wipes,1
Cross Oaks Elementary
"Zecommenc ec emen� ""ary Sc loo 5uDD y"
SECOND GRADE
#2 pencils (24),pencils,2
1 facial tissue (large box),facial tissue,1
1 pkg. dry erase markers,dry erase markers,1
"1 bottle white glue (washable, 8 oz.)",glue,1
8 glue sticks,glue sticks,8
1 8x11 Asst. construction paper,Asst construction paper,1
1 12x18 pkgs. Manila or white paper (50 count),White paper,1
1 12x18 Asst. construction paper (50 count),Asst construction paper,1
1 1in Binder with plastic protector,Binder,1
2 spiral notebooks,spiral notebooks,2
Waxed crayons (24 count),Waxed crayons,ultiple
Scissors (sharp point),Scissors,Multiple
Colored pencils (12 count - long),Colored pencils,Multiple
School box (prefer plastic), school box, 1
4 pocket folders with brads,pocket folders,4
"(yellow, blue, green, red)"
3 composition books,composition books,3
1 box of washable markers,washable markers,1
1 box of pencil top erasers,pencil top erasers,1
"1 box'ziploc - freezer -type"" bags — quart or gallon size",ziploc freezer type bags quart size,1
1 box Wipes (ie: Clorox or baby wipes),Wipes,1
THIRD GRADE
#2 Pencils (24),Pencils,2
2 facial tissue (large box),facial tissue,2
1 pkg. dry erase markers,dry erase markers,1
2 pkgs. wide rule filler paper (200 count),wide rule filler paper,2
4 portfolio pocket folders with brads (atb st1re .1bke.1)e ow),portfolio pocket folders,4
"1 bottle white glue (washable, 8oz.)",glue,1
3 glue sticks,glue sticks,3
Colored pencils (12 count),Colored pencils,Multiple
1 12x18 Manila or white paper (50 count),Manila paper,1
1 12x18 Asst. construction paper (50 count),Asst construction paper,1
"3 spiral notebooks (100 count, wide rule)",spiral notebooks,3
1 blue pen,pen,1
1 box of 8 washable markers,washable markers,1
