Fourth Grade
1 Pencil box WO sarg*raed pencils,Pencil pencils,1
1K&dshaq
per
1 Karx13d eraser,eraser,1
2 Redpensvid2 t*.pen,pen,2
1 Higtitighter aiy «ir
3-4 Glue stKks,Glue,3
2 packages 8 count km -odor,odor,2
whrtebOafd markers (iarge),markers,Multiple
3 Spvat notebooks (wde-ruled),notebooks,3
1 Marble a notebooks,Marble notebooks,1
Twin xktt ixrtfoluo fo with,Twin,1
"fterej; 1 d each color - yelkwv, bk,"
"green, red, orange. purple. wMe",green red orange purple,1
1 - 1 inch 3 -ring bsrxr,inch ring,1
54 pads c� 3x3 Pos,pads,54
