"•o( AT&T 4,"
8:22 PM
school-supply-Iist.com
10* 62%
1. 12 - #2 Pencils,Pencils,1
MC=
4. 1 Pink Eraser,Pink Eraser,4
6. 1 = Pkg. Washable Felt,Pkg Washable Felt,6
Markers,Markers,Multiple
7.1 1 • Pair Scissors,Scissors,7
8. 1 • Pencil Case,Pencil Case,8
9. 10 - Pocket Folders,Pocket Folders,9
10. 2 - Pkg. Lined Paper,Pkg Lined Paper,10
11.1 1= Pkg. Plain Paper,Pkg Plain Paper,11
12. 10 = Blue Pens,Blue Pens,12
13. 3 - Red Pens,Red Pens,13
14. 1- Ruler,Ruler,14
15. 1= Pkg. Pencil Crayons,Pkg Pencil Crayons,15
1
