6th -8 Grade
2017-2018 Supply List
1 box colored pencils,colored pencils,1
1 pencil sharpener,pencil sharpener,1
8 glue sticks,glue sticks,8
2 boxes 24 count pencils (No Mechanical please),pencils,2
4 composition books,composition books,4
1 3 inch binder (to -be-used for-ALL-acadernic_st.bjects),inch binder,1
5 Folders w/ holes - fit ire binder. 1 in - of the following colors,holes fit ire binder the following colors,5
"1 -blue, 1 -red, 1 -green, 1 -orange, 1 -purple",blue red green orange purple,1
1 pencil pouch vv/ holes to fit in binder,pencil pouch holes fit binder,1
1 pair of scissors,scissors,1
1 protractor,protractor,1
1 fl ive44.GB4
1 calculators,calculators,1
1 5 subject spiral notebook for science,subject spiral notebook,1
4 rolls of tape for class dispensers,rolls tape,4
1 package of dry erase markers,dry erase markers,1
1 container of Lysol wipes,container Lysol wipes,1
1 bottle of hand sanitizer,hand sanitizer,1
1 roll of paper towels,roll paper towels,1
2 reams of 20 lb white copy paper,reams copy paper,2
2 erasers.,erasers,2
Items to have and replace as needed:
"Pens: r blue, and black",Pens blue and,Multiple
College -rule notebook paper for binders
Graphing paper
Wipes,Wipes,Multiple
Tissues,Tissues,Multiple
