2 AM
AM
AM
AM
AM
4M
UM
",M"
M
VI
1
"Monday, July Tuesday, July",Monday Tuesday,1
"17, 2017 18, 2017",2017,17
Free Time/Ice,Free Time Ice,1
Breaker,Breaker,1
Kentucky Team,Kentucky Team,1
TraVel/Free
Time,Time,1
Al Proof Of,Proof,1
Concept/Use,Concept Use,1
Case,Case,1
Production,Production,1
Su oport Mode,Mode,1
Dinner,Dinner,1
Review RoadM,Review,1
PO/OCR Phase,OCR Phase,1
White Board,White Board,1
Exercise,Exercise,1
Lunch,Lunch,1
SOMS UI
Approach,Approach,1
P
"Wednesday, 1",Wednesday,1
"Thursday, 1",Thursday,1
"July 19, 2017"
July 1 2017 '
Free Time/Ice 1 Free Time/Ic,Free Time Ice Free Time,1
Breaker Breake,Breaker,1
Discuss,Discuss,1
September
Launch,Launch,1
BTS Sprint Call,Sprint Call,1
Nexus Reporting,Nexus Reporting,1
Lunch,Lunch,1
Complete
Requirements,Requirements,Multiple
For CSI
User journey,User journey,1
mapping,mapping,1
Business Case,Business Case,1
for 2 half of
Discuss CSI,Discuss,1
Prase
Future Phase,Future Phase,1
Planning,Planning,1
Open for
Meetings,Meetings,Multiple
Lunch,Lunch,1
Shadow E,Shadow,1
Butta
\Text Summit,Text Summit,1
)iscussion
Shadowing
Opel,Opel,1
Me€
dinner,dinner,1
)inner,inner,1
eam
Event,Event,1
