Sevent Grac e C ass Su 3 3 y _ist,ass,1
The school supply list provided above is a general school supplies list. The listed it
supplies requested by your child's school. Supplylist.com is not affiliated with any
Quantity,Quantity,1
1
Item,Item,1
Scotch Tape,Scotch Tape,1
5 Composition Wide Ruled Notebooks,Composition Wide Ruled Notebooks,5
1 Box of Blue or Black Pens,Blue Black Pens,1
1 Box of #2 Pencils or Mechanical Pencils,Pencils Mechanical Pencils,1
2 Large Erasers,Large Erasers,2
1 Pack of Loose Leaf Paper (Minimum 100 pages),Pack Loose Leaf Paper,1
5 Red Pens,Red Pens,5
3 Highlighters,Highlighters,3
1 Scientific Calculator,Scientific Calculator,1
2 Three Ring Binders,Three Ring Binders,2
5 Folders with Brads and Pockets,Folders,5
1
Ruler with Centimeters and Inches Displayed,Ruler,1
1 Package of Post -it Notes,Post Notes,1
1 Protractor with degree markings,Protractor,1
1
Pack of 3 X 5 White Ruled Index Cards,Pack White Ruled Index Cards,1
