th GRADE
FOLDER,FOLDER,1
#2 PENCILS,PENCILS,2
WHITE VINYL (PLASTIC) ERASERS,WHITE VINYL ERASERS,Multiple
BLACK SHARPIES - FINE POINT
GLUE STICKS,GLUE STICKS,Multiple
:ONTAINER BABY WIPES,BABY WIPES,Multiple
3th GRADE
SKETCHBOOK,SKETCHBOOK,1
6 #2 PENCILS,PENCILS,6
1 EBONY DRAWING PENCIL,EBONY DRAWING PENCIL,1
3 WHITE VINYL (PLASTIC) ERASERS,WHITE VINYL ERASERS,3
1 KNEADED ERASER,KNEADED ERASER,1
CONTAINER BABY WIPES,CONTAINER BABY WIPES,Multiple
THREE-RING BINDERS
PACKAGES LOOSLEAF
"'ENS, PENCILS, HIGHLIGHTERS"
7th &8th GRADE CORE CLASSES 1 BOX OF TISSUES
COMPASS FOR HOME USE
4 PACKAGES INDEX CA,INDEX,4
2 MARBLE NOTEBOOKS,MARBLE NOTEBOOKS,2
0TWO-POCKET FOLDERS WITH HOLES
INDER HOLE PUNCHER TI suggested,HOLE PUNCHER suggested,1
SCIENTIFIC CALCULATOR FOR HOME USE - E ENCORE CLASS,SCIENTIFIC CALCULATOR FOR HOME USE ENCORE CLASS,1
"6th, lth &"
PTE (ITALIAN. SPANISH. & FRENC
")ne 2"" BINDER",BINDER,1
PACKAGE LOOSELEAF,LOOSELEAF,1
'ENS (BLUE OR BLACK),ENS,Multiple
'ENCILS
BOX OF TISSUES,TISSUES,Multiple
READINGIAIS
1 ONE -SUBJECT NOTEBOOK,ONE SUBJECT NOTEBOOK,1
1 FOLDER,FOLDER,1
INDEX CARDS,INDEX CARDS,Multiple
POST -,POST,1
HIGHLIGHTER,HIGHLIGHTER,1
HEALTH
1 LOOSELEAF BINDER,LOOSELEAF BINDER,1
1 FOLDER,FOLDER,1
1 HIGHLIGHTER,HIGHLIGHTER,1
POST -ITS,POST ITS,1
ART
Students are required to have a portfolio to We se k of se art
by submitting a check for $8.0,submitting check,8
Portfolios should be purchased from the a teachers du the first
made payable to Farmingdale Schools. Portfolios are priced art store prices.
7th GRADE
1 FOLDER,FOLDER,1
6 #2 PENCILS .,PENCILS,6
3 WHITE VINYL (PLASTIC) ERASERS,WHITE VINYL ERASERS,3
2 BLACK SHARPIES - FINE POINT,BLACK SHARPIES FINE POINT,2
2 GLUE STICKS,GLUE STICKS,2
CONTAINER BABY WIPES,CONTAINER BABY WIPES,Multiple
DONATIONS,DONATIONS,Multiple
NEWSPAPERS,NEWSPAPERS,Multiple
TISSUE BOXES .,TISSUE,Multiple
LIQUID HAND SOAP,LIQUID HAND SOAP,1
ZIPLOC BAGS (GALLON SIZE),ZIPLOC BAGS,Multiple
MUSIC AND PERFORMING ARTS,MUSIC AND PERFORMING,1
"One 1"" BINDER",One BINDER,1
PENCILS,PENCILS,Multiple
25 SHEET PROTECTORS (BAND & ORCHESTRA),SHEET PROTECTORS,25
