• 5inGer wi'=h cividers
"• Loose-leaf pa,Der",Loose leaf Der,Multiple
• 5 subject notebook with folder dIwa,subject notebook,5
"• 2 marb,'e notebooks",notebooks,2
• 3 folders,folders,3
• 10 sheet protectors,sheet protectors,10
• Package of graph paper,graph paper,1
• Post -it notes,Post notes,Multiple
• Pencil sharpener with a lid,Pencil sharpener,1
• Package of pencils,pencils,Multiple
• Package of blue car black pens,blue car pens,1
• Box cf tissues,tissues,Multiple
• 2 different color highlighters,different color highlighters,2
