wu%.» `.tuna •JUI4)Iy
loot supply list provided above is a general school supplies list. The
tes requested by your child's school. Supplylist.com is not affiliated Al
r
Quantity len),Quantity,1
1 Scientific Calculator,Scientific Calculator,1
"r' ,,4"
1 Pocket Dictionary,Pocket Dictionary,1
"1 Stapler, Box of Staples, and Stapler Remover",Stapler Staples and Stapler Remover,1
3 Three Ring Binder with Subject Dividers,Three Ring Binder,3
5 Composition Notebooks,Composition Notebooks,5
1 Box of Pens (Blue or Black),Pens,1
1 Box of Red Pens,Red Pens,1
1 Ruler,Ruler,1
with Centimeters and Inches Displayed
1 Package of Loose Leaf Paper,Loose Leaf Paper,1
5 Folders with Pockets,Folders,5
1 Post -it Notes,Post Notes,1
1 Scotch Tape,Scotch Tape,1
Package of Graph Paper,Graph Paper,1
Box of Pencils,Pencils,Multiple
1
