RRMS Eiahth Grad? Suoole List 2014-2015,Grad 2014,2015
Sunnlies Needed for All Classes,Needed,1
"loose leaf paper, colored pencils, #2 pencils. pens, red pens, highlighters. Kleenex (option!)",loose leaf paper colo pencils pencils pens pens highlighters Kleenex,1
Enaiish
accord.on folder (four or more sections),accord folder,1
sharpies,sharpies,Multiple
American History
3 ring binder (minimum 11,ring binder,3
3 x 5 Index cards,Index cards,3
t subject sprrai notebook,subject notebook,1
3th grade math
A 1 %r2 inch binder,inch binder,1
4 ©ry ders
"Hole reinforcer s (optional, yet recommended)",Hole reinforcer,1
Graph Paper,Graph Paper,Multiple
TI -83 or TI -84 (plus & silver edition is accepted)
An EXTRA supply of 4 AAA batteries OR charging cord
"A non -graphing, scientific calculator (TI-3OXHHS is a good orrt"
Ruler,Ruler,1
Dry erase marker,Dry erase marker,1
Scissors,Scissors,Multiple
Tape or Giu stick,Tape stick,1
Afaebra 1
A 1X-2 inch binder,inch binder,1
4 Dividers,Dividers,4
"Hole reinforcers (optional, yet recommended)",Hole,1
Graph: Paper,Graph Paper,Multiple
71 or T1-84 graphing calculator (plus & silver edition is accepted),graphing calculator,71
An EXTRA supply of 4 AAA batteries OR charging cold
"A non -graphing, scientific calci.ilator (TI-30X11S is a good ale,"
Ruler,Ruler,1
"Dry erase ftt,f",Dry erase,1
Scissors,Scissors,Multiple
Tape or Glue sick,Tape Glue sick,1
An EXTRA LARGE book opr ell r loth or paper ba . or ii lr i trial)
Honors Geometry
A  inch binder,inch binder,1
6 dividers,dividers,6
"Hole Reinfarcers (optional., yet rec mmen ed)",Hole,1
Graph Paper,Graph Paper,Multiple
ruler,ruler,1
protractor,protractor,1
compass,compass,1
Ti -83 or Tt graphing calculator (plus & sites` edition is accepted)
An EXTRA supply of 4 AAA batteries OR charging cord
An EXTRA LARGE book coves(eiter cloth or paper bag: or s mHar,EXTRA LARGE book coves,Multiple
