2037-2018 6 Grade Supply List
teacher's name beside it was requested by all teachers in that subject area*
*with
1. 2 inch 3 Ring Binder,inch Ring Binder,1
2. Dividers,Dividers,2
3. Graph Paper,Graph Paper,3
"4, 2 Composition Notebboks",Composition,4
5. Ruler,Ruler,5
6. Calculator mis to abastc S „.;4 catctMtoe win,Calculator mis win,6
"meet the :.:.s of 6ttz mitt :.R .:� ,,'►afire"
"sure it is 4•functwn (*.-, ', /) w1 r�• roots)"
7. $20 Donation,Donation,7
Social Studies
1. 1 inch 3 Ring Binder,inch Ring Binder,1
"2, 5 Tab Dividers (Tate)",Tab Dividers,2
3. 1 Spiral Nu; 4roo& (Pruitt),Spiral,3
4. $20 Donation,Donation,4
Science
1. S Tab Dividers,Tab Dividers,1
2. 1 inch 3 Rai Binder,inch Binder,2
"3, 2 alecks of Notecards"
4. Composition notebook,Composition notebook,4
5 )4 inttt binder,binder,4
F. 520 Donation,520 Donation,1
`These are supplies
stu
Pencils,Pencils,Multiple
Hand Held ;` :; :J Sharpefr,Hand Held,1
Red Dens,Red Dens,Multiple
Glue,Glue,1
• Please bring the iolicwons
1 Stearn of White or Coicired,Stearn White,1
Paper,Paper,1
"1 Roil of Pape, %wets (",Roil wets,1
Eke Erase 4a+j►erx Ming,Eke Erase Ming,1
Enftlish
1. 2 or 234 inch 3 Ring binder (Graham),234 inch Ring binder,1
2. 3 Folders with Brads and Pockets,Folders,2
( r
3. 5 Tab Dividers (Richardson),Tab Dividers,3
4. Pocket Dictionary & Thesaurus (Richardson),Pocket Dictionary Thesaurus,4
5. Post -It Notes (Richardson),Post Notes,5
6 520 Donation,Donation,6
Phr .apt Educe/cm,apt Educe,1
1. Band -Ards (Latex Free),Band,1
2 Combination Lock,Combination Lock,2
3 (purchased at schedule pick up)
guided _ 1Qr i rls is
1 Fo&dir with brads
ter Ckntat►sQARIIMS
1 1 inch White 3 Ring Binder with Clear,inch White Ring Binder,1
Overlays,Overlays,Multiple
2 5 Tab Dividers,Tab Dividers,2
3 Flash drive,Flash drive,3
4 Ear budsAsead phones,Ear phones,4
4 .
we responsible for bn g to LVERY class IVERYQAy
Colored Pencils,Colored Pencils,Multiple
Loose Lath Paper,Loose Lath Paper,1
Scissors,Scissors,Multiple
HiItters (At least 4 coiars)
Paris Ssaggftg,Paris,1
for first pert4d hairier on the first day of school'
"e*and SaweutM wive,"
*& actertei *tees flloyel,tees,Multiple
