Q Messages •••••,Messages,Multiple
8:41 AM 7 * 35%
schools.cms.k12.nc.us
"J1 L4%116# VIgJ Fly 11.11*,",6 Fly,11
?ark Elementary,ark,1
017-2018
persona $upr21 (a wits vo r gii,persona,1
II? mei
1 -pack of markers,pack markers,1
1 -soft pencil pouch,soft pencil pouch,1
1 -spiral notebook (70 pages),spiral notebook,1
1 -clipboard,clipboard,1
5 -composition notebooks,composition notebooks,5
1-1 and '/2 inch binder,and inch binder,1
1 -sturdy 3 -hole punched folder,sturdy hole punched folder,1
"5-2 pocket, vinyl folders with",pocket vinyl folders,5
brads/prongs),brads prongs,Multiple
"(red, green, yellow, blue, purple)",red green yellow blue purple,1
1 -box of crayons,box crayons,1
1 -box of colored pencils,box colored pencils,1
1 -pack of plastic sandwich bags,pack plastic sandwich bags,1
1 -pair of small headphones or earbuds,pair small headphones earbuds,1
1 -reusable grocery bag,reusable grocery bag,1
