St. John's Episcopa,John,1
'Day Sc 14°,Day,14
ISu p y List
School p
2017.1
Teacher Approved 3 Year Old Kindergarten girl,Teacher Approved Year Old Kindergarten girl,1
"3 Baby Wipes, Fragrance Free,72ct Soft Pack",Baby Wipes Fragrance Free Soft Pack,3
"1 Crayons, 24ct, Crayola©",Crayons Crayola,1
"4 Glue Stick, Jumbo, Elmer's, 1.4 oz. Washable (purple)",Glue Stick Jumbo Elmer Washable,4
"2 Glue, Small, Elmer's©, 4 oz., Wash, White",Glue Small Elmer Wash White,2
"1 Markers, Crayola©, Tropical, Broad, Washable, 8ct",Markers Crayola Tropical Broad Washable,1
"1 Paper Plates, White, 6"" 100ct",Paper Plates White,1
"1 Paper Plates, White, 9"" 100ct",Paper Plates White,1
"2 Tissue, Kleenex© Family Size (Box Tops©)",Tissue Kleenex Family Size,2
"1 Watercolors, 8ct Crayola© Washable",Watercolors Crayola Washable,1
"3 Wipes, Clorox©, Disinfectant, 35ct",Wipes Clorox Disinfectant,3
"1 Zipper, Gallon, Freezer, 14 ct Box",Zipper Gallon Freezer,1
"1 Zipper, Quart, Freezer, 20 ct Box",Zipper Quart Freezer,1
"1 Zipper, Snack, 50 ct Box",Zipper Snack,1
Additional items you will need:
3 KANDOO WIPES PKGS; complete change of labeled clot •,WIPES complete change labeled clot,3
di
"of shirt, pair each shorts/pants, socks. 2 Hair of ��nr1s.•....�..,. clothing, cor"
