BE BIDAS
"BUDWLISER LATA 269mI R$ 2,90"
"EISENBAHN PILSEN GARRAFA 600m1 R$ 6,20"
"EISENBAHN PILSEN LATA 355mI R$ 3,60"
"EISENBAHN PILSEN LONG NECK 355m1 R$ 3,80",LONG NECK,80
"HEINEKEN LATA 250mI R$ 2,95",HEINEKEN,95
"PROIBIDA PURO MALTE GARRAFA 600m1 R$ 5,50"
"PROIBIDA PURO MALTE LATA 269m1 R$ 2,60"
"SKOL LATA 269m1 R$ 2,50"
"STELLA ARTOIS LATA 269m1 R$ 3,30",STELLA,30
"STELLA ARTOIS LONG NECK 275m1 R$ 3,40",STELLA LONG NECK,40
"COCA-COLA 2,25 / GUARANA 3,3 / PEPSI 3,3 R$ 8,50",COCA COLA PEPSI,50
"GUARANA / PEPSI / SODA / SUKITA 21 R$ 6,00",PEPSI SODA,00
"SMIRNOFF ICE SABORES R$ 4,90",SMIRNOFF ICE,90
