•••oo Verizon ITE 11:29 AM
"a sevenaakses,bcps.org"
df MID,MID,1
GRAS
"'LAM THE FOtLOW,MG WITH YOUR CH1tDS NAME"
3 large black and white marble,large black and marble,3
composition notebooks 'Primary lined',composition notebooks Primary lined,Multiple
(Y1 page Tined -1/2 page blank),page Tined page blank,1
can be found at Staples or Office Depot
Ste next column.,Ste next column,1
1 3 -prong folder for vac al music,prong folder,1
12 pent ils with erasers (sharpened),pent,12
2 large pink erasers,large erasers,2
2 boxes of crayons (boxes of 24),crayons,2
1 pack colored pencils,pack colored pencils,1
1 pair of scissors,scissors,1
1 bottle of glue,glue,1
8 glue sticks,glue sticks,8
1 plastic shoebox to hold supplies,plastic hold,1
(12 with d{tKh k
6 folders with horizontal pockets and,folders,6
prongs (red. blue. yellow. green. purple. and,prongs,Multiple
orange),orange,1
1 box markers,markers,1
1 yellow highlighter,highlighter,1
2 dry erase markers,dry erase markers,2
