Pencil pouch,Pencil pouch,1
Blue or black
ballpoint pens,ballpoint pens,Multiple
No. 2 pencils,pencils,Multiple
Pencil sharpener,Pencil sharpener,1
Highlighters,Highlighters,Multiple
Markers,Markers,Multiple
Erasers,Erasers,Multiple
Three-ring binder
Three -hole -punch,Three hole punch,1
Subject dividers,Subject dividers,Multiple
Index cards,Index cards,Multiple
Loose-leaf paper,Loose leaf paper,1
or spiral notebooks,spiral notebooks,Multiple
Folders,Folders,Multiple
Glue,Glue,1
Ruler,Ruler,1
Scissors,Scissors,Multiple
Calculator,Calculator,1
Personal organizer/,organizer,1
calendar,calendar,1
Book socks,Book socks,Multiple
Backpack,Backpack,1
Lunch bag,Lunch bag,1
