Third Grade
Composition notebooks — 6 Brochhagen/1 Cirakoglu,Composition notebooks,Multiple
1 pair headphones (to remain in school),headphones,1
Glue sticks -- 8 Brochhagen/2 Cirako,Glue sticks,Multiple
1 pair scissors,scissors,1
1 box crayons 2 folders,crayons folders,1
1 box thick markers,thick markers,1
1 box tin markers,tin markers,1
"1 handheld pencil, sharpener",handheld pencil sharpener,1
"4'kgs. 4""x4"" Post Its",Post Its,4
"1 bottle anti -bacteria: , soap",anti bacteria soap,1
container o:: )a)y wins,wins,Multiple
