••o< Verizon 10:32 PM 87% MI).*
docs.google.com,docs,1
Gr 4 Scholar Supply List 201...,Scholar,201
Grade 4 Scholar Supplies List for 2017 - 2018,Scholar,2018
1 Take Home Pocket Folder,Take Home Pocket Folder,1
"1 2"" 3 Ring Binder",Ring Binder,1
2 Packs of Antibacterial Wipes,Antibacterial Wipes,2
"1 Pack of Expo Dry Erase Markers (4,Fine Tip/Low",Pack Expo Dry Erase Markers,1
Odor),Odor,1
2 Packs of 3x5 Index Cards (white),Index Cards,2
2 Extra Fine Black Sharpie Markers,Extra Fine Black Sharpie Markers,2
2 Fine Point Black Sharpie Markers,Fine Point Black Sharpie Markers,2
3 Dozen #2 Pencils,Pencils,3
3 Yellow Highlighters,Yellow Highlighters,3
1 Pack of Colored Pencils (12 in total),Pack Colored Pencils,1
"1 12"" Plastic Ruler",Plastic Ruler,1
6 Glue Sticks,Glue Sticks,6
"1 Pair 5'"" Scissors",Scissors,1
1 Double Barrel Pencil and Crayon Sharpener,Double Barrel Pencil and Crayon Sharpener,1
2 Boxes Facial Tissues,Facial Tissues,2
