Graeae 3
2 composition book - marbled,composition book marbled,2
1 pack of crayons 1;24 pack),pack crayons pack,1
1 pack of colored pencils,pack colored pencils,1
"5 Vinyl/Heavy duty pocket folders -- (1) Red, (1) Green, (1) blue, (1)",Vinyl Heavy duty pocket folders Red Green blue,5
4 glue sticks,glue sticks,4
1 large hand sanitizer,large hand sanitizer,1
1 set of headphones — can be found at dollar store (NO ear buds) pia
1 highlighter,highlighter,1
1 red pen,pen,1
1 pack of dry erase markers -- 4 pack,pack dry erase markers pack,1
1 pencil case (soft/flexible),pencil case,1
1 pencil box approximately 8in.x 5 in.,pencil approximately,1
2 dozen Dixon Ticonderoga #2 pencils,Dixon Ticonderoga pencils,2
3 packs of 3x3 Post -It Notes,pack Post Notes,3
1 pair of Fiskars child -sized scissors
1 whiteboard eraser (or a sock or cloth),eraser,1
2 large boxes of tissues,large tissues,2
1 container of Clorox wipes,container Clorox wipes,1
1 fine tip black sharpie,fine tip sharpie,1
1 ultra fine tip black sharpie,ultra fine tip sharpie,1
1 Pink Pearl eraser,Pink Pearl eraser,1
1 small pencil sharpener,small pencil sharpener,1
1 pack of 3x5 index cards (100 count),pack index cards,1
"1 oversized T shirt, labeled, for art",shirt labeled,1
"4 individual Ziploc bags, gallon sized",individual Ziploc bags sized,4
"1 box of Ztp(oc bags, sandwich sized"
Grade 4
1 container of dt wipes,container wipes,1
"1 bottle cat h.;nc1 ...indite,",cat indite,1
1 cnm1)o ltior hooks marbled,hooks marbled,Multiple
1 pat k cat c rayons (24 p.ec k),pat cat rayons,1
2 hicnteti o t i»ue• .
"`, C]t'%t'% tcitele►% ( 1) Heil. (1) (ire -,'n, (1) Moe, (1) Yellow,",ire Moe Yellow,1
2 glue sti( 1.4.,glue,2
"1 ""'et dt h cat, he t,)uric! .11 thill.er -.tare (NO",cat uric tare,1
h4ghlighters
( purple (plastic Preterre
ear buds) Placed in Zioinr',Placed,1
"2 ua. t..,, .e... ... .... ..,�.�_..�"
