".r,.. a r r -•k'_ %"
So
t -pocket,pocket,1
One
ry.‘ gni
Li k *110
")""' BETHEL M s OLE SCHOOL",BETHEL OLE,1
r with prongs (Blue)
"x5 lined index cards, white",lined index cards,Multiple
C. .osition note. (Blue preferred),note,1
SCHOOL SUPPLY LIST 2017-2018,7,2018
Social Studies 7 & 8,Social Studies,8
One 2 -pocket folder (Blue),One pocket folder,1
Spiral bound notebook (Blue),Spiral bound notebook,1
ALL CLASES : NO FABRIC BOOK COVERS *
Lanauaae Arts 6 & 7
One 2 -pocket folder (Yellow),One pocket folder,1
One 2 -pocket folder (Orange),One pocket folder,1
"2 packs 100 3x5 lined index cards, white",pack 100 lined index cards,2
Colored post -it flags,Colored post flags,Multiple
"2 composition notebooks - 1 black, 1 any color",composition notebooks black any color,2
1 5 -Subject notebook - Yellow or Orange preferred,Subject notebook Yellow Orange preferred,1
Lan• •e Arts 8
One 2-poL
One 2 -Doc,One Doc,1
2 pa
0 3x5 lin
red post -it flags,post flags,Multiple
composition notebook - colo,composition notebook,1
Science 6. 7 4_$,Science,4
Pronged folder w/ pockets (Green),Pronged pockets,Multiple
Spiral bound notebook (Green),Spiral bound notebook,1
(Yellow),Yellow,1
(Orange),Orange,1
"dex cards, white",cards,Multiple
over (not black)
Math 6 1
TI -30X series Calculator (recommended),series Calculator,1
2 -Pocket folder (Red),Pocket folder,2
Graph paper,Graph paper,Multiple
3 -subject notebook (Red),subject notebook,3
Accelerated Math 7,Accelerated,7
TI -30X series Calculator (recommended),series Calculator,1
3 -subject notebook (Red),subject notebook,3
Ruler,Ruler,1
Protractor,Protractor,1
Graph paper,Graph paper,Multiple
M • -$
TI - ser Calculator (recommended),Calculator,1
3-su otebook (Red)
One ocket plastic folder (Red),One plastic folder,1
P
acto
"aph pape,"
HS Alaebra 1
TI -84 Calculator (recommended),Calculator,1
2 -Docket folder with prongs (Red),Docket folder,2
College Ruled spiral notebook (Red),College Ruled spiral notebook,1
",Art6&7"
V Sketchbook,Sketchbook,1
"Perm, Black Markers, (thin, thick, fine point &",Perm Black Markers,Multiple
medium point),medium point,1
Eraser,Eraser,1
$.L
Sketcn„
12-ptecP
Four
de H
Nage
0 ackage of
ck ultrafine sha
lack fine sharpie ma,lack fine sharpie,1
-ted white nylon paintbrush set,nylon paintbrush,1
` 3 x 5 white index cards (unlined),index cards,3
ap white paper plates,paper plates,Multiple
markers,markers,Multiple
ers
Technology 6. 7,Technology,7
2 -pocket `oiaer with prongs (Black),pocket,2
Multi -Media 8,Multi Media,8
Headphones or ear buds (with Microphone Preferred'
Choir 6. 7 &,Choir,7
"One black binder, 3 ring, one inch"
ALL MIDDLE SCHOOL STUDENTS
(recommended for all classes),recommended,1
tar DUOS_,tar DUOS,1
Wireless Mouse (not required),Wireless Mouse,1
PAPER book covers (for hard -back texts only;,PAPER book covers,Multiple
"4'encil Pouch, zippered",Pouch zippered,4
"Blue, Black, Red pens",Blue Black Red pens,Multiple
Wide -ruled loose leaf paper,Wide ruled loose leaf paper,1
Pencils,Pencils,Multiple
Hiai:di titers ( ran,titers,Multiple
"olore r,,, (I4+"
11
"GI wTOT pt, ICT"
Iue sticks,sticks,Multiple
Issors
with catch case
