Pre -Kindergarten
& Kindergarten
"SC -00_S.."" Y"
1
1 Backpack,Backpack,1
1 Composition Notebooks (3),Composition Notebooks,1
1 Pad of Drawing Paper,Pad Drawing Paper,1
2 -Pocket Poly Fokers (3),Pocket,2
1 Pencil. Case,Pencil Case,1
Box of #2 Pencils (8 or more),Pencils,Multiple
Box of Crayons (24 pack),Crayons,Multiple
Box of Broad Line Washabl.e Markers,Broad Line Markers,Multiple
Watercolor Paint Set,Watercolor Paint,1
Large Eraser,Large Eraser,1
G..ue Stic.is (2)
5- Inch Safety Scissors,Inch Safety Scissors,5
