oct v 3ca oi
"AAAA,AA ii/AAAA"
Back to School Supply List - Kindergarten
"- 12 large (white, not purple) Elmer's Glue Sticks",large Elmer Glue Sticks,12
-1 box of 8 large Crayola Crayons (not jumbo),large Crayola Crayons,1
- 1 box of 24 Crayola Skinny Crayons,Crayola Skinny Crayons,1
- 1 pack of 8 Crayola Markers (primary colors),pack Crayola Markers,1
- 1 pack of Crayola Skinny Markers,pack Crayola Skinny Markers,1
-1 pack of 12 colored pencils,pack colored pencils,1
-1 8x11 spiral bound sketch pad (unlined white paper),spiral bound sketch pad,1
- 1 box of tissues •,tissues,1
- 2 packages of unscented baby wipes (any brand),unscented baby wipes,2
- 2 containers of disinfecting wipes (any brand),containers disinfecting wipes,2
- 1 roll of paper towels,roll paper towels,1
-1 package of napkins,napkins,1
