pplies for all students in order to meet theii
uppl ies for their child. Should you decide to
List as of 6/20/16.
RADE 2
Please IabN with vour child's name:,Please,1
Q 1 box of 24 crayons,crayons,Multiple
e 4sp1raLn0tebooks
Ct 1 pair of scissors,scissors,Multiple
fa 1 ruler,ruler,1
e. Class Items - these will be for community
use. so please do not put names of them:
@ 1 box of Kleenex tissue,Kleenex tissue,1
1 bottle of hand samtker,hand,1
e 1 package of 3 Elmer's Glue stldcs
2 Highlighters,Highlighters,2
@ 1 package of 4 Expo Dry Erase Markers,Expo Dry Erase Markers,1
C+ 1 container of dlsinfectant wipes,container wipes,Multiple
e 1 ream of copy paper,ream copy paper,1
1 package of 72 iR pencils,pencils,1
1 box of Ziptock bags (gallon and sandwich,bags,1
size),size,1
GRADE 3
#2 Pencils,Pencils,2
