V !••
• r
✓ 4
i
4
4'
4'
4 4 4 4 4 4 4 4 4 4 4 4
1' Grade School Supply List 4
2017-2018
l
7 black wide ruled Composition marble notebooks,wide ruled Composition marble notebooks,7
1 yellow plastic folder,plastic folder,1
4
4
1 red plastic folder 0,plastic folder,1
4
1 blue plastic folder,plastic folder,1
1 green plastic folder 1,plastic folder,1
"48 ""Ticonderoga"" pre -sharpened pencils",Ticonderoga sharpened pencils,48
"2 packs of BLACK fine point ""Expo"" dry Erase markers",pack BLACK fine point Expo dry Erase markers,2
1 ream of copy paper (S00 sheets) .e,ream copy paper,1
2 boxes of 24 count Crayola Crayons 4,Crayola Crayons,2
c
1 pack of 3x5 index cards,pack index cards,1
1 box of tissues,tissues,1
1 bottle of Clorox Disinfectant Wipes �?,Clorox Disinfectant Wipes,1
1 pair of FISKARS scissors,scissors,1
2 jumbo glue sticks,jumbo glue sticks,2
3 Tined 4x4 POST ITS,Tined POST ITS,3
1 soft zipper pencil case k%,soft zipper pencil case,1
1 pack of 10 thin Crayola Markers,pack thin Crayola Markers,1
1 pack of 10 Crayola Colored Pencils,pack Crayola Colored Pencils,1
"$13 for Scholastic News, Raz-Kids Subscription, notebook journal"
** Individual teachers may ask for extra supplies
•
