FIRST GRADE
6 WIDE RULE BLACK MARBLE COMP BOOK 100CT,WIDE RULE BLACK MARBLE COMP BOOK,6
1 RED PLASTIC POCKET FOLDER,RED PLASTIC POCKET FOLDER,1
1 BLUE PLASTIC POCKET FOLDER,BLUE PLASTIC POCKET FOLDER,1
1 YELLOW PLASTIC POCKET FOLDER,YELLOW PLASTIC POCKET FOLDER,1
1 PURPLE PLASTIC POCKET FOLDER,PURPLE PLASTIC POCKET FOLDER,1
1 GREEN PLASTIC POCKET FOLDER,GREEN PLASTIC POCKET FOLDER,1
1 ORANGE PLASTIC POCKET FOLDER,ORANGE PLASTIC POCKET FOLDER,1
1 3X3 YELLOW STICKY NOTES 50CT 4PK,YELLOW STICKY NOTES,1
12 NO2 YELLOW PENCIL (LATEX FREE,YELLOW PENCIL,12
"1 CRAYOLA 7"" COLORED PRESHARPENED PENCILS 12CT",CRAYOLA COLORED PENCILS,1
1 REG. PENCIL SHARPENER W/ RECEPTACLE,REG PENCIL SHARPENER RECEPTACLE,1
3 BLACK CHISEL TIP DRY ERASE WHITE BOARD MARKER,BLACK CHISEL TIP DRY ERASE WHITE BOARD MARKER,3
1 PINK BEVEL ERASER (LATEX FREE,PINK BEVEL ERASER,1
6 ELMER'S SMALL .210Z1:6 GRAM GLUE STICK,ELMER SMALL GRAM GLUE STICK,6
1 CRAYOLA CRAYONS 24CT,CRAYOLA CRAYONS,1
"1 BLUNT 5"" SCISSORS",BLUNT SCISSORS,1
"x - 1 x r NYLON PENCIL BAG, CLEAR TOP W/ GROMT 7.25X10,25",NYLON PENCIL BAG CLEAR TOP,25
"1 12"" 1/16"" STANDARD/METRIC PLASTIC RULER",STANDARD METRIC PLASTIC RULER,1
2 x RULED WHITE INDEX CARDS 100CT,RULED WHITE INDEX CARDS,2
- 1 UNSCENTED BABYWIPES SOFT PACK 80CT_,UNSCENTED SOFT PACK,1
"1 BOUNTY PAPER TOWELS ROLL U,BULK►",BOUNTY PAPER TOWELS ROLL BULK,1
2 XEROGRAPHIC COPY PAPER REAM (BULK),XEROGRAPHIC COPY PAPER REAM,2
2 ANTIBACTERIAL LIQU'D HAND SOAP,ANTIBACTERIAL HAND SOAP,2
2 WATERLESS HAND SANITIZFR WITH PUMP 80Z,WATERLESS HAND WITH PUMP,2
2 FACIAL TISSUE 100CT,FACIAL TISSUE,2
3 CLOROX/LYSOL WIPES 35 CT - NOT FOR SKIN (BULK),CLOROX LYSOL WIPES NOT FOR SKIN,3
1 1ZIPLOC/GLAD SANDWICH BAGS 50CT BOX,GLAD SANDWICH BAGS,1
1 ZIPLOC/GLAD GALLON SNAP & SEAL BAGS 19CT BOX,ZIPLOC GLAD GALLON SNAP SEAL BAGS,1
