6t Grade Kit Price = $69.46,Kit Price,46
"Item Number Qty. Brand Description 3/4 x 1296""",Item Number Qty Brand Description,1296
"218041 2R1 Tape -It Tape, Invisible, w/Dispenser,",Tape Tape Invisible,218041
"255019 ' 1Ea Sentry Earbuds w/ Case epic, 200 Ct.",Sentry Case epic 200,255019
"5Bx Scotties Facial Tissue, 'Scotties', HYP",Scotties Facial Tissue Scotties,Multiple
"261095 x 11 , 500/Pk, White",500 White,261095
"256003 1Pk Staples BULK Copy Paper, 20 lb, SCe Hofes, Asst.",Staples BULK Copy Paper Asst,256003
"244004 * 1Ea CLI Ruler, 12"", Plastic, Inch & Cm. 11"" x 8.5"" Asst.",Ruler Plastic Inch Asst,244004
"211078 1Pk CLINE Dividers, 3 Ring, Poly, 5 -Tab, 10",CLINE Dividers Ring Tab,211078
"206046 * 1 Ea SchoolKidz Pencil Case, 3 -Hole, 10"" x 7"", Mesh Front, Asst.",ch Pencil Case Hole Mesh Front Asst,206046
"V6111 12Ea Staples Pen, Stick, Medium Point, Black"
"227027 2Pk Staples Filler Paper, Wide Rule, 10.5"" x 8"", 120/Pk",Staples Filler Paper Wide Rule 120,227027
"232066 1Pk Tape Graph Paper, 4 Sq/ln, 10.5""x 8"", 100/Pk, 3 Hole",Tape Graph Paper 100 Hole,232066
"V6125 2Pk Staples Pencils, #2, Unsharpened, All Wood, Dz.",Staples Pencils Unsharpened All Wood,Multiple
"226006 * 1Pr Westcott Scissors, 7"", Pointed Tip, Latex Free, Asst.",Scissors Pointed Tip Latex Free Asst,226006
"207011 2St Prang Pencils, Colored, 7"", Sharpened, 12/Set",Pencils Colored Sharpened Set,207011
"218045 2Pk 3M 'Post -It' Notes, 3"" x 3"", Yellow, 100 Sht/Pd",Post Notes Yellow 100,218045
"208090 10Ea Sargent Art Glue Stick, Washable, .74 oz.",Sargent Art Glue Stick Washable,208090
"235002 1Pk Esselte Index Cards, 3"" x 5"", Ruled, 100/Pk, White",Index Cards Ruled 100 White,235002
"254025 4Pk Staples Highlighters, Chisel Tip, Yw/BI/Gn/Pk/Or/Pur, 6/pk",Staples Highlighters Chisel Tip,254025
"207003 1St Prang Markers, Washable, Classic Colors, Wide Tip, 8/Set",Markers Washable Classic Colors Wide Tip Set,207003
"254044 4Ea Expo 2 Marker, Dry Erase, Chisel Tip, Low Odor, Black",Expo Marker Dry Erase Chisel Tip Low Odor Black,254044
"V6112 2Ea Staples Pen, Stick, Medium Point, Red",Staples Pen Stick Medium Point Red,Multiple
"232059 3Ea Staples Composition Book, Marble Cover, WR, 100 Sheets, BLK",Staples Composition Book Marble Cover 100 Sheets,232059
"201016 * 1Ea Maped Sharpener, Pencil & Crayon, Dbl Barrel, Canister",Sharpener Pencil Crayon Dbl Barrel,201016
"102S 1Pk Staples Notebooks, Spiral, 2Pk, WR, 70Ct, Blue/Red",Staples Notebooks Spiral Blue Red,Multiple
"266022 1Ea CLI / Bazic Correction Tape, w/Dispenser",Correction Tape,266022
"TT1 1Ea Bonus Items Free ""Money From Home"" Envelopes & Student ID Labels"
