1 Pair of Fiskars scissors,scissors,1
"1 Box of Crayola brand crayons, 24 count",Crayola brand crayons,1
"1 Box of Crayola brand colored pencils, 12 count erred"
4 Packages p derOga p )
"of #2 pencils, 12 count (Ticon",pencils,Multiple
4 Packages of cap erasers,cap erasers,4
"1 Nylon clear window zipper pouch, 3 holes",Nylon clear window zipper pouch holes,1
"3 Packages wide -ruled notebook paper, 15 sheets",wide ruled notebook paper sheets,3
"1 Box of Crayola washable markers, 8 count `'Fide barrel",Crayola washable markers Fide barrel,1
6 Vinyl folders with pockets and brads,Vinyl folders,6
"4 Elmer's glue sticks, .77 oz",Elmer glue sticks,4
"1 Bottles of Hand Sanitizer, 8 oz",Hand Sanitizer,1
"3 Boxes Kleenex, 100 count",Kleenex 100,3
"2 Containers of Clorox/Lysol wipes, 75 count",Containers Clorox Lysol wipes,2
2 Highlighters (any color),Highlighters,2
"1 1 1/2 -inch binder with clear view front pocket, 3 ring",inch binder,1
"4 Marbled composition books, 100 sheets, wide -ruled",Marbled composition books 100 sheets wide ruled,4
"1 Package of divider tabs, 3 ring",divider tabs ring,1
"1 Package of sticky notes, 4 count (any color)",sticky notes,1
"Girls Only: 1 box Ziploc quart bags, 1 pack index cards 4""x6"""
"Boys Only: 1 box of Ziploc gallon bags, 1 pack index cards 3""x5"""
�
