••••• AT&T 1P 12:43 PM • 20%C _ ►
invergrove. k 12 . mn. us
2017-2018
Pine Bend Elementary School,Pine Bend,1
Suggested Supply List,Suggested,1
ALI Ctli«: • •Please Zabel all belongings**
S ....41 bag to carry thin to and from school
"Ts. shoes for gy',+ Iwo Kee$ys)",shoes,Multiple
NO TRAPPER KEEPERS and NO WHEElfD MOUPACKS,TRAPPER KEEPERS,Multiple
THIRD GRADE
1 Bo* of 24 or 411 crayons,411 crayons,1
24 Sharpened 12 pencils,Sharpened pencils,24
"4 Glue stocks. Elmer's washable, purple, does clear, 21 oz",Glue stocks Elmer washable purple does clear,4
"1 Box of 12 colored pencils, Crayola, sharpened",colored pencils Crayola sharpened,1
"6 Colored pocket folders - 1 of each red. purple, yellow, g blue. i desM",Colored pocket folders each red purple yellow blue,6
"1 Foskar scissors, sharp",scissors sharp,1
2 Eraser (large),Eraser,2
1 Yellow highlighter,Yellow highlighter,1
"2 Fine lined black markers (non piR,anentj",Fine lined markers,2
$ Black dry•erase matke+s,Black dry erase,1
1 Slue pen,Slue pen,1
"4 Composition notebooks - Wide -Rule - One each black. green, blue, purple",Composition notebooks Wide Rule One each black green blue,4
1 Set of B washable water colors,washable water colors,1
1 Sox Crayola markers. a colon,Crayola markers colon,1
1 Package of Post It Notes,Post Notes,1
"1 BOX of It!«. -,en"
"Ziploc bagg+rs Quart sire, 25",Ziploc Quart sire,25
FOURTH GRADE
Washable mar*an,Washable mar,1
1 Perri pouc,Perri,1
2 Boxes of K�«rex
1 Sox of 24 or 411 cost's,411 cost,1
1 Box of !Z Crayola markers,Crayola markers,1
24 Sharpened 12 pencils,Sharpened pencils,24
"6 Colored pocket folders - red, yellow, blue. green, purple 1 design of your c",Colored pocket folders red yellow blue green design your,6
"1 Fiskar scissors, sharp",Fiskar scissors sharp,1
2 W ode lined spore I notebooks
1 Wide knell 100 page composltaon book size 4 k. a 7
2 fine Tine black Flag markers (non permanent),fine Tine Flag markers,2
