Kindergarten Supply List
•
4
Q
"_3,"
I tit,tit,1
"fine biaCK ""low odor"" expo dry erase marKers",fine low odor expo dry erase,1
2 thinK expo dry erase marKers (any color),expo dry erase,2
3 2/I count boxes of crayola Crayons,crayola Crayons,3
2. box of ThiCK crayola marKers,crayola,2
"12 Elmer glue sticKs (please no store brands, they don't stiCK)",Elmer glue,12
1 40Z bottle of Elmer glue,Elmer glue,1
2 pig of # 2 Ticonderoga pencils,pig Ticonderoga pencils,2
1 pKg of tri-write triangler Ticonderoga pencils,write Ticonderoga pencils,1
1 pair of fisKar scissors,scissors,1
1 set of CraYola water Colors,water Colors,1
1 pig of Clorox disinfectant wipes,pig Clorox disinfectant wipes,1
1 box of tissues,tissues,1
2 Containers of play -,Containers play,2
1 plastic folder with prongs,plastic folder,1
a solid colored folder with prongs,solid colored folder,1
1 composition notebooK,composition,1
1
