The GLOBE Academy
2017-18 School Supplies List
Kindergarten GIRLS,Kindergarten GIRLS,Multiple
"1 - Wilson Jones Binder, 3 Ring, Heavy Duty, View, 1"", White",Wilson Jones Binder Ring Heavy Duty View White,1
"2 - Mead Handwriting Comp Book, Primary, Marble Cvr, 100 Sht Blue",Mead Handwriting Comp Book Primary Marble 100 Blue,2
"4 - Staples Composition Book, Marble Cover, WR, 100 Sheets, BLK",Staples Composition Book Marble Cover 100 Sheets,4
"1 - Crayola Crayons, Crayola, Tuck Box, 24/Box",Crayola Crayons Crayola Tuck Box Box,1
"2 - Expo 2 Markers, Dry Erase, Chisel, Low Odor, Asst 4/Pk",Expo Markers Dry Erase Chisel Low Odor Asst,2
"2 - Cline Folder, Poly, 2 Pocket, Red",Cline Folder Pocket Red,2
"2 - Cline Folder, Poly, 2 Pocket, Yellow",Cline Folder Pocket Yellow,2
"1 - Elmer's Glue Stick, Elmer's Washable, Purple, Dries Clear, .21 oz.",Elmer Glue Stick Elmer Washable Purple Dries Clear,1
"1 - Esselte Index Cards, 3"" x 5"", Ruled, 100/Pk, White",Index Cards Ruled 100 White,1
"1 - Crayola Markers, Washable, Classic Colors, Wide Tip, 8/Set",Crayola Markers Washable Classic Colors Wide Tip Set,1
"1- Pacon Card Stock, 'Array', Colorful, 8.5"" x 11"", 100 Sh/Pk",Card Stock Array Colorful 100,1
"1 - Staples BULK Copy Paper, 20 Ib, 8.5"" x 11"", 500/Pk, White",Staples BULK Copy Paper 500 White,1
"2 - Bounty Paper Towels, Roll, Bounty, 2 Ply, 44 Sheets",Bounty Paper Towels Roll Bounty Ply Sheets,2
"1 - Dixon Pencils, #2, Ticonderoga, Sharpened, Dz.",Dixon Pencils Ticonderoga Sharpened,1
"1 - Fiskars Scissors, 'For Kids', 5"", Blunt Tip, Latex Free, Asst.",Scissors For Kids Blunt Tip Latex Free Asst,1
"1 - Donovan/Rocklin Wipes, Baby, w/Aloe, Soft Scented, Tub, 80 Ct.",Donovan Wipes Baby,1
"1 - Good & Clean Wipes, Disinfect, Bleach Free, Canister, 35 Ct.",Good Clean Wipes Disinfect Bleach Free Canister,1
"2 - Scotties Facial Tissue, 'Scotties', Hypo -Allergenic, 200 Ct.",Scotties Facial Tissue Scotties Hypo Allergenic 200,2
"1 - SchoolKidz Storage Bags, Economy Zip, Sandwich, 50 Ct.",Storage Bags Economy Zip Sandwich,1
"1- Sargent Art Pencils, Colored, 7"", Sharpened, 12/Set",Sargent Art Pencils Colored Sharpened Set,1
