Rectangular pencil erasers 6,Rectangular pencil erasers,6
8 pk washable markers 1,washable markers,8
24 pk Crayons 3,Crayons,24
24 Pk #2 pencils 7,pencils,24
4 Pk Black pens 1,Black pens,4
Pkg Sharpies 1,Sharpies,1
12 pk Colored Pencils 4,Colored Pencils,12
Dry Erase Markers 3,Dry Erase Markers,3
Elmers Glue Sticks 22,Elmers Glue Sticks,22
Pkg 3X3 Post it notes 4,Post notes,4
Pkg 3X5 index cards 1,index cards,1
Marble composition notebooks 11,Marble composition notebooks,11
Antibacterial wipes (unscented) 5,Antibacterial wipes,5
Bottle of white glue 2,glue,2
12 oz Hand sanitizer w/pump 2,Hand pump,12
Scotch Tape 1,Scotch Tape,1
Pocket Folder w/prongs (Red) 4,Pocket prongs,4
Pocket folder w/ prongs (Blue) 3,Pocket prongs,3
Pocket Folder w/prongs (yellow) 2,Pocket prongs,2
Pocket Folder w/prongs (green) 3,Pocket prongs,3
Pocket Folder w/prongs (purple) 3,Pocket prongs,3
Pocket Folder w/prongs (orange) 1,Pocket prongs,1
Pocket Folders (any color) 3,Pocket Folders,3
Zipper pencil pouch 1,Zipper pencil pouch,1
Wide ruled notebook paper 1,Wide ruled notebook paper,1
Duel sided ruler 1,Duel sided ruler,1
Gallon Ziploc storage bags 1,Ziploc storage bags,1
Box of tissues 10,tissues,10
"Standard 1"" binder (no pictures) 1",Standard binder,1
"Standard 2"" binder 2",Standard binder,2
Highlighter (single) 1,Highlighter,1
4 Pk Multicolored Highlighters 1,Multicolored Highlighters,4
Scissors 1,Scissors,1
25 pk Sheet protectors 1,Sheet protectors,25
Spiral Notebook w/pockets 3,Spiral pockets,3
Paper Towels 1,Paper Towels,1
