The 4 Grade Teachers
Fourth Grade Supply List
"crk (Reading, Writing, Math, Vocabulary, Science,"
Social Studies)
1 -Red folder for reading,Red folder,1
-aim-folder for math,aim folder,1
4 1 +r -folder for writing reading. 1 -for
"4 -Folders of your choice (1 -for homework, 1 -for close re",Folders your choice,4
"Social Studies, 1-f pr Science)",Social Studies Science,Multiple
deny--,deny,1
1—P-eY.c�l or writing),writing,1
"144ed-, orange, blue, and (F",orange blue,1
1 -Package of loose leaf paper,Package loose leaf paper,1
1 -Package of copy paper it notes,Package copy paper notes,1
2-1 urge packs of 3X5 LINEb post,urge pack post,2
2 -Yellow legal pads,Yellow legal pads,2
1 -Package of markers,Package markers,1
l_pne -�
4 -Different color highlighters,Different color highlighters,4
1 -Pack of expo dry erase markers,Pack expo dry erase markers,1
1 -Pair of scissors With the compass attachment),Pair scissors With the compass attachment,1
actor (Not the one P,actor,1
1 -Protractor,Protractor,1
Protr (Cm/Inches)
1 _Ruler C,Ruler,1
-Roll of paper towels,Roll paper towels,Multiple
2 -Boxes of tissues s (Gallon or s°''dwich bags),Boxes tissues,2
1
ZipIOC bag,bag,1
1 -Package of b wipes,Package wipes,1
1 -Pac of ba 1 or Clor° W s
1 -Package of LYSO r cli,Package,1
1 -Small P Pe,Small,1
1all or large
1-Pack of sharpies,Pack sharpies,1
