The 4 Grade Teachers
Fourth Grade Supply List
"kraNitirbiti Writing, Math, Vocabulary. Scie"
Social Studies)
1 -Red folder for reading,Red folder,1
- of folder for math,folder,1
c>;r- folder for writing or close
"4 -Folders of your choice (1 -for homework, 1-",Folders your choice,4
f
"Social Studies, 1 -fir Science)"
ned -pcnc-ils-evert--day-,day,1
1-Penci{}ns
"1 44eek, orange, blue, and gres (For writing)",orange blue,1
1 -Package of loose leaf paper,Package loose leaf paper,1
1 -Package of copy paper it notes,Package copy paper notes,1
2 -Large packs of 3X5 LINED post,Large pack LINED post,2
2 -Yellow legal pads,Yellow legal pads,2
1 -Package of markers,Package markers,1
i �nr
4 -Different color highlighters,Different color highlighters,4
1 -Pack of expo dry erase markers,Pack expo dry erase markers,1
••-P ors sciss,ors,Multiple
1 -Pair of 1 -Protractor (Not the one With the compass attachment) 1 -Ruler (Cm/Inches),Pair Protractor Not the one With the compass attachment Ruler,1
1 -Roll of paper towels,Roll paper towels,1
2 -Boxes of tissueoc (Gallon or sandwich bags),Boxes,2
I
_Package of Z p,Package,1
es
wb lor0x Wipe,Wipe,1
1 -Small or,Small,1
1 Package of baby,baby,1
a eofLys
1 _pack g large p°perr clip,pack large clip,1
1 -Pack of sharpies,Pack sharpies,1
rea
1_for
