N� curKers *
GRADE 4
6 'composition notebooks,composition notebooks,6
"1 roll of duct tape, any color",roll duct tape any color,1
"2 spiral notebooks, (wide ruled)",spiral notebooks,2
6 plastic pocket folders,plastic pocket folders,6
12 expo dry -erase markers,expo dry erase markers,12
3 highlighters,highlighters,3
6 pkg. sticky notes (Post -Its),sticky notes,6
"2 boxes of #2 pencils, 48 count",pencils,2
"1 box colored pencils, 24 count",colored pencils,1
2 pkg. 100 count ruled note cards,100 ruled note cards,2
4 pkg. notebook paper (wide ruled),notebook paper,4
"1 scissors, blunt tip",scissors blunt tip,1
5 large glue sticks,large glue sticks,5
4 boxes of facial tissue,facial tissue,4
1 large hand sanitizer 30oz/hand soap/refills,large hand sanitizer hand soap refills,1
"3 Clorox wipes, large",Clorox wipes large,3
2 1 -gallon freezer bags (no slider closure),gallon freezer bags,2
6 red grading pens,grading pens,6
"1 box of crayons, 24 count",crayons,1
"pkg. manila paper, 8x12",pkg manila paper,Multiple
"1 pkg. construction paper, 8x12 assorted colors",construction paper assorted colors,1
1 bottle of white glue,glue,1
1 earbud headphones,earbud headphones,1
"1 box of colors, 64 count *",colors,1
"1 pkg. colored pencils, 24-48 count",colored pencils,1
•
1 pkg. 6 pack glue sticks *,pack glue sticks,1
"2 pkg. pencils, #2 *",pencils,2
1 pkg. markers *,markers,1
