••ooc AT&T LTE 2:19 PM 1 15% C
"docs.Qoogie,com",docs,1
Nape everyone is **ovine the lest month of summer bruit. Items with an •
"reohmeshed &sift the school year, tear moy wont 10 up now :)"
*Pencils crayons,Pencils crayons,Multiple
*colored pencils,colored pencils,Multiple
markers (optional),markers,Multiple
scissors,scissors,Multiple
*glue stocks,glue stocks,Multiple
*erasers/ pencil top
*stocky notes,stocky notes,Multiple
US / Metric Ruler,Metric Ruler,1
"4 notebooks- labeled Science, Social Studies, Math, £LA",notebooks labeled Science Social Studies,4
A(enda Book
4 Folders- labeled same as above (or an accordran folder),Folders labeled same,4
*personal sharpener,sharpener,1
Sth Folder for Homework,Folder,1
pencil bag that rips
'dry erase marker and eraser(can be sock or ripped tshirt),dry erase marker and eraser,1
Forst home:,home,1
Protractor,Protractor,1
Supplies we are in Ord el throughout the year for the Whole dswreawt. anv
Tissues,Tissues,Multiple
Coiorox Wipes,Wipes,Multiple
"Ziploc Bags ( sandwich, quart, plIon sizes)",Ziploc Bags,Multiple
Paper Towels,Paper Towels,Multiple
Band Aides,Band Aides,Multiple
Hand Soap or Bacterial Soap,Hand Soap Bacterial Soap,1
