MATH
Science
Social Studies
4 sewn wide rule Reading composition,sewn wide rule Reading composition,4
"books, 4 sewn wide rule Writing",books sewn wide rule Writing,Multiple
"composition books, 8 packs of square"
"Post -its, pencils",Post its pencils,Multiple
"2 3 -subject notebooks, pencils everyday for",subject notebooks pencils everyday,2
"class, one colored pen or pencil (any color",class one colored pen pencil,1
"is fine), one pocket folder for class papers,",one pocket folder,1
one folder for home use to store papers.,one folder,1
"3 sewn wide rule imposition books, (1)",sewn wide rule imposition books,3
"pocket folder, pencils!",pocket folder pencils,Multiple
2 inch- 3 ring binder,inch ring binder,2
Composition Notebook,Composition Notebook,1
