First Grade
1— 24 pack Crayola crayons,pack Crayola crayons,1
1-10 pack Crayola classic colors thick markers,pack Crayola classic colors thick markers,1
2 —12 pack Crayola colored pencils,pack Crayola colored pencils,2
48 - #2 Ticonderoga sharpened pencils,Ticonderoga sharpened pencils,48
1— large pink eraser,large eraser,1
"2 — black Expo dry erase marker, chisel tip",Expo dry erase marker chisel tip,2
1— Expo dry erase board eraser,Expo dry erase board eraser,1
2— yellow highlighter,highlighter,2
1— yellow plastic two pocket folder,plastic two pocket folder,1
1— blue plastic two pocket folder,plastic two pocket folder,1
2 — green plastic two pocket folder,plastic two pocket folder,2
1— red plastic two pocket folder,plastic two pocket folder,1
1— purple plastic two pocket folder,plastic two pocket folder,1
2 — single subject wide rule spiral notebook,single subject wide rule spiral notebook,2
1— Primary Journal Early Creative Story Tablet,Primary Journal Early Creative Story Tablet,1
"1 — 1"" white view vinyl 3 -ring binder",view vinyl ring binder,1
3 — small Elmer's glue stick,small Elmer glue stick,3
1— Fiskars pointed scissors,pointed scissors,1
"2 — 3""x3"" Post -it notes (pad of 50 sheets)",Post notes,2
1— box re -sealable gallon size bags (boys only),box size bags,1
1— box re -sealable quart size bags (girls only),quart size bags,1
1— large box of tissues,large tissues,1
"1— plastic school box (8.5"" x 5.75""x 2.5"")",plastic,1
