"""Third Grade Supply List"
24 #2 pencils 6.,pencils,24
3 glue sticks,glue sticks,3
"4 two pocket folders (red, yellow, green, blue)",two pocket folders,4
i pkg low odor black dry erase markers,low odor dry erase markers,1
2 lg pink erasers,erasers,2
i box of tissues,tissues,Multiple
i box colored pencils,colored pencils,Multiple
2 composition books,composition books,2
1 pack of wide ruled loose leaf paper,pack wide ruled loose leaf paper,1
headphones,headphones,Multiple
Clorox Wipes (optional),Clorox Wipes,Multiple
