.i Fell %PI L1Cdt. ttnat t-11 your chi,Fell your chi,1
f
(2nd Grade
3 packs of notebook paper,pack notebook paper,3
12 cit. packs of pencils,cit pack pencils,12
4 ct. pack of large pink pearl erase,pack large pearl erase,4
3 boxes of crayons,crayons,3
1 ZN 3 ring notebook view binder,ring notebook view binder,1
3 pocket folders (no prongs),pocket folders,3
pack of construction paper,pack construction paper,1
composition notebooks,composition notebooks,Multiple
1 pair of scissors,scissors,1
glue sticks (no bottles of clue),glue sticks,Multiple
"VI, notebook pencli pouch",notebook pouch,1
2 boxes of Kleenex tissue,Kleenex tissue,2
1 box of sandwich size Ziptoc bags,sandwich size bags,1
1 box of gailon size Zlploc bags,size bags,1
1 bottle of hand sanitlzet,hand,1
1 container of clorox wipes,container clorox wipes,1
