child comes to school within the Tirbi
supplies. We thank you in advance for Your cooperation and look forty(
to a great year! The 4 Grade Teachers
Fourth Grade Supply List
"z kf(Reading, Writing, Math, Vocabulary, Science,"
Social Studies)
1 -Red folder for reading,Red folder,1
folder for math,folder,1
'G;:wwrfolder for writing
"4 -Folders of your choice (1 -for homework, 1 -for close reading, 1 -for",Folders your choice,4
"Social Studies, 1- f on Science)",Social Studies Science,Multiple
%u1
1 ' Penc:; Case —,Case,1
"1Rea, orange, blue, and gore. (For writing)",orange blue and gore,1
1 -Package of loose leaf pr,Package loose leaf,1
1 -Package of copy paper,Package copy paper,1
2 -Large packs of 3X5 LINED post it notes,Large pack LINED post notes,2
2 -Yellow legal pads,Yellow legal pads,2
1 -Package of markers,Package markers,1
4-bifferent color highlighters,color highlighters,4
1 -Pack of expo dry erase markers,Pack expo dry erase markers,1
.r.w .71 Ibn
1 -Pair of scissors,Pair scissors,1
1 -Protractor (Not the one with the compass attachment),Protractor,1
1 -Ruler (Cm/Inches),Ruler,1
1 -Roll of paper towels,Roll paper towels,1
2 -Boxes of tissues,Boxes tissues,2
1 -Package of Ziploc bags (Gallon or sQhd bags),Package Ziploc bags,1
1 -Package of baby wipes,Package baby wipes,1
1 -Package of Lysol or Clorox Wipes,Package Lysol Clorox Wipes,1
1 -Small or large paper clip,Small large paper clip,1
1 -Pack of sharpies,Pack sharpies,1
