crinridtg
Item,Item,1
Suggested 6t Grade Supply List,Suggested,1
2017-2018
4 1 inch binder,inch binder,4
"4 Dividers, 5 tabs",Dividers tabs,4
4 2 pocket folders,pocket folders,4
1 Marble Composition book,Marble Composition book,1
1 Calculator - 4 function,Calculator function,1
1 Poly -envelope for binder,envelope,1
packets of reinforced filler paper,packets reinforced filler paper,Multiple
Reinforcements,Reinforcements,Multiple
Pencil case or pencil box,Pencil case pencil,1
"#2 penr>>"""
2 Dry erase markers (blue or black),Dry erase markers,2
Red pens,Red pens,Multiple
Blue or black ppng
Highlighters,Highlighters,Multiple
Glue sticks,Glue sticks,Multiple
Scissors,Scissors,Multiple
Colored pencils,Colored pencils,Multiple
"1 Expandable, plastic accordion folder with 13 pockets & clasp",Expandable plastic accordion folder,1
Package of multi- colored Post -it Notes,multi colored Post Notes,1
"'""''""*Please note: n!rvters bigger thnr 1% inch or have a Lipper cover"
"do NOT flt is *he lockers! ""***"
"""'*""Backpacks MGsr bind and fit into lockers""**"""
****We hi h/y rectimmerabuving the Locker ! hiP*s
"'Ad bg the Vii) to be hung in th• lockers*""**"
"""'Students are also asked to have a pair of earbuds with them i gnated for school use."
