Fifth Grade Supply List
2017-2018
1 % inch binder with inside front and back pockets,inch binder,1
1 - package of lined paper with holes for a binder (200 sheets),lined paper,1
4 - marble notebooks,marble notebooks,4
1 - 5 subject notebeul.,subject,1
1 - yellow pocket folder (Spanish),pocket folder,1
3 - pocket folder,pocket folder,3
3 - packs of Post -It notes,pack Post notes,3
12 - #2 pencils,pencils,12
2 - red marking pens,marking pens,2
2 - hi�hli�hters
2 - thin black Sharpie markers,thin Sharpie markers,2
1 - pack of colored pencils OR era) ons,ons,Multiple
1 - of Expo dry erase markers (at least 5),Expo dry erase markers,1
1 - dry eraser (old sock),dry eraser,1
2 - glue sticks,glue sticks,2
1 - pair of scissors,scissors,1
container of disinfecting wipes
1 - package of hand wipes,hand wipes,1
2 - boxes of tissues,tissues,2
I - 12 inch ruler,inch ruler,1
1 - soft pencil case,soft pencil case,1
1 -pair of headphones,pair headphones,1
