o en's = Ascopal Day School,Day,1
Schoo Supplv List
2017-18
Teacher *mrroved Gr;de 2
"2 Baby Wipes, Fragrance Free,72ct Soft Pack",Baby Wipes Fragrance Free Soft Pack,2
"3 Crayons, 48ct, Crayola©",Crayons Crayola,3
"4 Eraser, Magic Rub© (white vinyl)",Eraser Magic Rub,4
"6 Folder, Plastic, 2 Pocket, Assorted",Folder Plastic Pocket Assorted,6
"2 Glue Stick, Large, Eimer's .77 oz.",Glue Stick Large,2
"2 Glue, Large, Elmer's©, 7 5/8 oz., Wash, White",Glue Large Elmer Wash White,2
"2 Markers, Crayola©, Classic, Broad, Washable, 8ct",Markers Crayola Classic Broad Washable,2
"2 Markers, Crayola©, Classic, Fine, Washable, 8ct",Markers Crayola Classic Fine Washable,2
"1 Notebook, 70 pg., Wide, Asst, Spiral",Notebook Wide Asst Spiral,1
"2 Notebook, Composition, Marble, Asst. Colors, Wide Ruled",Notebook Composition Marble Asst Colors Wide Ruled,2
"4 Paper, Loose leaf, Wide Rule, 150ct",Paper Loose leaf Wide Rule,4
"2 Pencils, Colored, 24 ct, 7"" (Long), Crayola©",Pencils Colored Crayola,2
"1 School Box, 8"" x 5"", Plastic",Box Plastic,1
"1 Scissors, 5"", Fiskars© for Kids, Pointed",Scissors,1
"2 Wipes, C orox©, Disinfectant, 35ct",Wipes Disinfectant,2
"1 Zipper, Gallon, Gad, 20 ct Box",Zipper Gallon Gad,1
"1 Zipper, Quart, 24 ct Box",Zipper Quart,1
alditionel items you will need:
