Azle Junior High 2017-2018,Junior High 2017,2018
"7""' Grade Supply List"
**Studenis will need the following materials o danybois in a ery mss**
• Notebook paper (several packages),Notebook paper,1
• Blue/black pens,Blue black pens,Multiple
• #2 Pencils (several packages),Pencils,2
• Red pens,Red pens,Multiple
• Pencil bag,Pencil bag,1
• Highlighters,Highlighters,Multiple
EnglisltLanguage A 4ndudes_Reading):
• Package of dividers,dividers,Multiple
"• 2-1"" 3- ring binder",ring binder,2
• Composition notebook,Composition notebook,1
Bottle of Clorox wipes,Clorox wipes,Multiple
Math:
• 3- 70 -page spiral notebooks,page spiral notebooks,3
• Hand-held pencil sharpener,Hand held pencil sharpener,1
"• "" 3 Ring binder",Ring binder,3
History:
• Map pencils,Map pencils,Multiple
"• 2"" binder",binder,2
WIN:,WIN,1
•
•
•
• Choln Black 1 binder,Black binder,1
• Scissors,Scissors,Multiple
• Ear buds (multi- clr« use),Ear buds,1
• 6 Glue Sticks,Glue Sticks,6
• Map Pencils,Map Pencils,Multiple
• White out
• 2 Pocket folders w/ brads,Pocket brads,2
• 1 Spiral notebook,Spiral notebook,1
• Bottle of Hand sanitizer,Hand sanitizer,1
• Scotch tape,Scotch tape,1
• Erasers,Erasers,Multiple
• 2-1 Subject Notebooks,Subject Notebooks,2
• Thin tipped pe. uanent marker,Thin tipped marker,1
• 10-12 count markers,markers,10
3 Boxes of Kleenex,Kleenex,3
Bottle of hand sanitizer,hand sanitizer,1
Container of Clorox (or similar) anti -bacterial wipes for hard suI races
