1. 12 - #2 Pencils,Pencils,1
2. 2 - Glue Sticks,Glue Sticks,2
3. 1 - White Glue,White Glue,3
4. 1 - Pink Erasers,Pink Erasers,4
5 1 - White Eraser,White Eraser,5
6. 1 - Pkg. Washable Felt Mark,Pkg Washable Felt Mark,6
ers
7. 1 - Pair Scissors,Scissors,7
8. 1 - Pencil Case,Pencil Case,8
9. 10 - Pocket Folders,Pocket Folders,9
10. 2 - Pkg. Lined Paper,Pkg Lined Paper,10
11. 1 - Pkg. Plain Paper,Pkg Plain Paper,11
12. 10 - Blue Pens,Blue Pens,12
13. 3 - Red Pens,Red Pens,13
14. 1 - Ruler,Ruler,14
15. 1 - Pkg. Pencil Crayons,Pkg Pencil Crayons,15
"16. 2 - 3"" Binders",Binders,16
17. 8 - Subject Dividers,Subject Dividers,17
18. 1 - Scientific Calculator,Scientific Calculator,18
19. 1 - Geometry Set,Geometry,19
20. 1 - Pocket Dictionary,Pocket Dictionary,20
21. 1 - Thesaurus,Thesaurus,21
22. 1 - Pencil Sharpener,Pencil Sharpener,22
23. 3 - Highlighter Pens,Highlighter Pens,23
24. 1 - Agenda Book/Student Planner,Agenda Book Planner,24
25. 1 - Stapler,Stapler,25
26. 1 - Staple Remover,Staple Remover,26
27. 1 - Bottle Correction Fluid,Correction Fluid,27
28. 1- Receipt book,Receipt book,28
