2016-2017
1 _zipsWildcat. (can bet; dL 4t gv-ri
"1- Binder, 3 1 nu y, 1""",Binder,1
"3 - Cofiikositinn Book . ' 1e Cover, WR, 100 Sheets, Bisek",Book Cover 100 Sheets,3
"1 Pk Dividers, 3 la ink, 5 -Tab, 11""xS.S""",Dividers ink Tab,1
"1- Fo! , 2 Pocket, 14 Pt., Red ( )",Pocket Red,1
"1- Get V5, baia Fine Point, Black",Get Fine Point Black,1
"1- Httlyiphones, prefer earttids",prefer,1
"1- Pencil Case, Fabric, 3 -Hole wiGrommets, 10""x6"", Asst.",Pencil Case Fabric Hole Asst,1
"3 Pk • Filler Paper, Wide, 10.5"" x 8"",12GIPk",Filler Paper Wide,3
"4 Plc - Pencils, #2, Unsharpened, All Wood, Dz.",Pencils Unsharpened All Wood,4
"1 - ku1er,12"", Plastic„ Incl & Cm, Centex Boles. Asst.",Plastic Incl Boles Asst,1
"2PX Pencils, Colored, 7* Sharpened, 12/ Set",Pencils Colored Sharpened,Multiple
"6- Glue Stick, Bm ner% WashtiNe, Pimple, Dries Clear, .21",Glue Stick Pimple Dries Clear,6
"&isms, 5"", Posted Tip, Latex Free, Asst.",isms Posted Tip Latex Free Asst,Multiple
-hvatPiCrayon„ DU aCani
"1 ,. Calc h for, 8 Digit, D Poorer"
"1 Pk - Index CArds, 3"" z 5"", Ruled, 1 /Ptc, White",Index Ruled White,1
"1 - Mlitykant, Wastiattte. Classic Colots,Wide Tip, 81Set",Classic Wide Tip,1
"1 Pk - Reinforcements, R d, White, lite, 100/Ph",Reinforcements White lite 100,1
"1 Pk• Hi li Chisel Tip, '! ""v aB tr/ Pur„ 6, p►k",Chisel Tip,1
"3 Pen, Stick, Medium Pmt, Black",Pen Stick Medium Black,3
"3 - P , Stick, Madura Point, B",Stick Point,3
"2 c - Fseaal Tissue, A11c, 200 Q.",Tissue 200,2
"°e„ Disinfecting, Bleed Frei LemonSew, 35 Ct"
"1 RI - Paper Tower Rod may, 85 Sheets",Paper Tower Rod Sheets,1
"I ~ORM- Sanitizer A Get, Ploy, 12",Sanitizer Get Ploy,12
