4TH GRADE - HAR251
M321123
C00920
26145
24075
9WHIT
24073
24070
104B
10026
UC532352
BS4012
BS24
B0304N
"1 3"" ASST HARDBACK VINYL BINDER",ASST HARDBACK VINYL BINDER,1
2 3X5 RULED WHITE INDEX CARDS 100CT,RULED WHITE INDEX CARDS,2
2 5SUB WIDE RULED SPIRAL 180CT,WIDE RULED SPIRAL,2
1 9X12 MANILA PAPER 50CT,MANILA PAPER,1
1 9X12 BRIGHT WHITE CONST PAPER 50CT,BRIGHT WHITE PAPER,1
2 12X18 MANILA PAPER 50CT,MANILA PAPER,2
2 9X12 ASST CONST PAPER 50CT,ASST PAPER,2
2 BOX OF RECLOSEABLE QUART FREEZER BAG 20CT,QUART FREEZER BAG,2
"1 7"" PRESHARPENED COLORED PENCILS 12CT",COLORED PENCILS,1
6 WIDE RULED BLACK MARBLE COMP BOOK 100CT,WIDE RULED BLACK MARBLE COMP BOOK,6
"1 CRAYOLA 7"" COLORED PRESHARPENED PENCILS 12CT",CRAYOLA COLORED PENCILS,1
3 CRAYOLA CRAYONS 24CT,CRAYOLA CRAYONS,3
1 ELMER'S 40Z SCHOOL GLUE,ELMER GLUE,1
B0519 2 ELMERS WASHABLE LARGE BLUE GEL GLUE STICK .880Z,ELMERS WASHABLE LARGE BLUE GEL GLUE STICK,Multiple
B0516 4 ELMER'S 0.77 OZ. (22 GRAM) GLUE STICK,ELMER GLUE STICK,1
EP2525 8 PINK BEVEL ERASER (LATEX FREE),PINK BEVEL ERASER,1
SN80001
C000238
CWIPES
EP617
1 EXPO2 LOW ODOR BLACK CHISEL TIP DRY ERASE MARKER,LOW ODOR BLACK CHISEL TIP DRY ERASE MARKER,1
27153 6 WIDE RULE 8X10.5 FILLER PAPER 200CT,WIDE RULE FILLER PAPER,27153
39250
BIGSM1R
FC83720
EP5100
PBPT
M3251805
M325180G
M3251800
MJ25180Y
MJ25180R
EP3755
EP5401EA
AW33066
FS9498
5N27025
26141
BS7808
AW1000
DI287NO2
2 GRAPH FILLER PAPER 4 SQUARES/INCH W/HOLES 50CT,GRAPH FILLER PAPER SQUARES INCH HOLES,2
4 CLOROX/LYSOL WIPES 35 CT - NOT FOR SKIN (BULK),CLOROX LYSOL WIPES NOT FOR SKIN,4
"2 NYLON PENCIL BAG, CLEAR TOP W/ GROMT 7.25X10.25",NYLON PENCIL BAG CLEAR TOP,2
3 PAPER TOWELS 85CT (BULK),PAPER TOWELS,3
4 BIC RED MED STICK PEN,RED MED STICK PEN,4
2 REG. PENCIL SHARPENER W/ RECEPTACLE,REG PENCIL SHARPENER RECEPTACLE,2
12 PENCIL CAP ERASERS (LATEX FREE),PENCIL CAP ERASERS,12
1 ASST POLY INSERT DIVIDERS 5TABS 10 POCKETS,ASST INSERT DIVIDERS POCKETS,1
1 BLUE PLASTIC POCKET WITH BRAD FOLDERS,BLUE PLASTIC POCKET WITH BRAD FOLDERS,1
1 GREEN PLASTIC POCKET WITH BRAD FOLDERS,GREEN PLASTIC POCKET WITH BRAD FOLDERS,1
1 ORANGE PLASTIC POCKET WITH BRAD FOLDERS,ORANGE PLASTIC POCKET WITH BRAD FOLDERS,1
1 YELLOW PLASTIC POCKET WITH BRAD FOLDERS,YELLOW PLASTIC POCKET WITH BRAD FOLDERS,1
1 RED PLASTIC POCKET WITH BRAD FOLDERS,RED PLASTIC POCKET WITH BRAD FOLDERS,1
1 ASST PLASTIC SCHOOL BOX 8.5 X 5.75 X 2.5,ASST PLASTIC,1
2 1 EA 3X3 ASSORTED STICKY NOTES 50CT,ASSORTED STICKY NOTES,2
"1 6"" PROTRACTOR - CLEAR",PROTRACTOR CLEAR,1
"2 FISKARS 5"" BLUNT SCISSORS",BLUNT SCISSORS,2
3 SHARPIE ACCENT PEN STYLE HIGHLIGHTER FL. YELLOW,SHARPIE ACCENT PEN STYLE HIGHLIGHTER YELLOW,3
1 1SUB WIDE RULED SPIRAL ASST 70CT 6C,WIDE RULED SPIRAL ASST,1
1 CRAYOLA ULTRA CLEAN WASH THICK MARKERS 8CT,CRAYOLA ULTRA CLEAN WASH THICK MARKERS,1
2 9X12 DRY ERASE WHITE BOARD,DRY ERASE WHITE BOARD,2
60 NO2 DIXON ORIOLE PENCIL,DIXON ORIOLE PENCIL,60
