re�iae y01
"This is NOT a required list, but we would really app"
following items:
For the Classroom: STI
"CI Accordion Folder (may consider 2,",Accordion Folder,1
one for each for
semester) wa
❑ Expo/dry erase markers,Expo dry erase markers,Multiple
❑ 1 ream of computer paper,ream computer paper,1
❑ KLEENEX -3 or more boxes
❑ Clorox/Lysol Wipes -at least 2 containers,Clorox Lysol Wipes least containers,Multiple
❑ Ziploc Bags (any size),Ziploc Bags,Multiple
❑ Paper towels - at least one
❑ 4- AAA batteries,AAA batteries,4
❑ 1pack (of 100) 3x5 lined note cards,lined note cards,Multiple
❑ ##2 pencils,pencils,2
❑ Colored pencils,Colored pencils,Multiple
❑ Colored pens,Colored pens,Multiple
❑ Markers,Markers,Multiple
❑ Highlighters,Highlighters,Multiple
❑ Pencil top erasers,Pencil top erasers,Multiple
❑ Glue sticks,Glue sticks,Multiple
�
"3"" notes -at east 2 pkgs.",notes east,3
i_
"des in the 6 grade, �"
".��,.',tc will no longer have _ ,."
