WC) ODLAWN
PREPARATORY CHOOL,PREPARATORY,1
Montessori 6-9 supply List,Montessori,1
1- plastic 3 prong pocket folder (take home folder),plastic prong pocket folder,1
1- clipboard,clipboard,1
X 1- 3 inch three-ring binder 1 - 1 inch three-ring binder
1- pack binder dividers — minimum of 9 dividers,pack binder dividers minimum dividers,1
1- pack plastic page protectors,pack plastic page protectors,1
3- spiral bound notebooks (wide ruled),spiral bound notebooks,3
2- square centimeter graph paper spiral notebooks or loose leaf,square centimeter graph paper spiral notebooks loose leaf,2
2- packs of dotted -lined handwriting paper (1s grade),pack dotted lined handwriting paper,2
2- glue sticks 1- bottle of Elmer's glue,glue sticks Elmer glue,2
1- box of Ziploc sandwich bags,Ziploc sandwich bags,1
1- box of 24 colored pencils,colored pencils,1
2- boxes of pencils (presharpened Ticonderoga preferably),pencils,2
2- packs of computer printer paper,pack computer printer paper,2
1- pump bottle of liquid hand soap,pump liquid hand soap,1
1- pump bottle of hand sanitizer or a refill bottle,pump hand sanitizer refill,1
2- packages of Clorox wipes,Clorox wipes,2
1- bottle Clorox Green Works type cleaner spray,Clorox Green Works type cleaner spray,1
2- boxes of Kleenex tissue I- roll of paper towels,Kleenex tissue roll paper towels,2
1- pack of paper plates 1- pack of disposable plastic cups,pack paper plates pack disposable plastic cups,1
1 - pack of napkins,pack napkins,1
