Meiouc s ernenl-2r
Y
Grce Su7y �s 2O' — i �
"Please 4be/?11 items with you,- child's nem-2e.",Please,1
• 15 small glue sticks (per semester),small glue sticks,15
• 1 pair of headphones,headphones,1
• 2 boxes of 24 count crayons (per semester),crayons,2
• 1 box washable markers,washable markers,1
• 2 dozen #2 pencils (per semester),pencils,2
• art shirt/smock,art shirt smock,1
• girls -liquid soap boys -disinfectant wipes
• 4 marble black & white composition notebooks,marble black composition notebooks,4
• 1 large boxes oftissues (per semester),large,1
• safety scissors with metal blades,safety scissors,Multiple
• 3 pink block erasers,block erasers,3
• 1 small school pouch (not hard),small pouch,1
• backpack — no wheels,backpack wheels,Multiple
• 1 pkg. of expo dry erase markers,expo dry erase markers,1
• 1 package of baby wipes,baby wipes,1
• Girls —1 box gallon size ziplock bags & plastic utensils
"• Boys —1 box sanc,wich size ziplock bags and paper plates"
"Wish List —anytime t a rout, lout t ne yearl"
small novelty items — prizes for the treasure box,small novelty prizes,Multiple
reward stickers snack ziplock bags tissues yarn pony beats
magazines appropriate for school use
