••••• AT&T ITE 10:05 AM 7* L r
0 schooltoolbox.com
The exact same supplies from the
Ship -2 -School Box are included.
QtyDescription
3Crayola Crayons 24ct,Crayons,Multiple
Crayola Washable Markers,Crayola Washable Markers,Multiple
1 ConicaliBroad Tip Classic Colors,Tip Classic Colors,1
8c1
3 #2 Yellow Woodcase,Yellow,3
Sharpened 12c1,Sharpened,1
1 Papert4late Pink Pearl Latex -Free,Pink Pearl Latex Free,1
Eraser (EACH),Eraser,1
1 Chisel Tip Fl Yellow,Chisel Tip Yellow,1
(EACH)
1 Highlighter Chisel Tip Blue,Highlighter Chisel Tip Blue,1
(EACH)
1 Highlighter Chisel Tip Green,Highlighter Chisel Tip Green,1
(EACH)
Expo Low Odor Dry Erase
Marker Fine Tip Black (EACH),Marker Fine Tip Black,1
"1 Fiskars Scissors Pointed 5""",Scissors Pointed,1
1 Pencil Box 8 25Lx5 25Wx2 25H -,Pencil,1
Assorted Colors,Assorted Colors,Multiple
Elmer's Small Glue Stick
8Washable Purple - Dries Clear
(EACH)
1 -Pack 2 -Pocket Folder Poly,Pack Pocket Folder,1
w/out Clasp (RD.BL.YL.GN.PU)
1 -Pocket Folder Poly wiout Clasp,Pocket Folder Clasp,1
Orange,Orange,1
1 Spiral Notebook 1 Sub Wide Rule,Spiral Notebook Sub Wide Rule,1
Red 70ct
1 Spiral Notebook 1 Sub Wide Rule,Spiral Notebook Sub Wide Rule,1
Blue 70ct,Blue,1
