O Pencil box,Pencil,1
O Crayons,Crayons,Multiple
D Colored pence,Colored pence,1
D Washable markers,Washable markers,Multiple
O No. 2 pencils,pencils,Multiple
D Pencil sharpener,Pencil sharpener,1
DE s
D Glue sticks,Glue sticks,Multiple
O skint -tipped scissors,tipped scissors,Multiple
O Plastic folders,Plastic folders,Multiple
D Assorted construction,Assorted construction,1
PaPIK
O Wide -ruled notebook,Wide ruled notebook,1
or pad,pad,1
O Tissues,Tissues,Multiple
O Bacicpock
D Lunchbox or bog,bog,1
