6 Grade Social Studies —World Geography and Contemporary Issues,Social Studies World Geography and Contemporary Issues,6
School List
"Yellow folder, composition notebook, loose leaf paper, #2 Pencils and index",Yellow folder composition notebook loose leaf paper Pencils and index,1
cards,cards,Multiple
"*it's the school policy not to allow book bags in the classroom. So, it is"
recommended to have a pencil pouch with the following:
❖ Colored pencils,Colored pencils,Multiple
••• Red/blue pens,Red blue pens,Multiple
❖ Glue,Glue,1
❖ A Sharpener,Sharpener,1
❖ Highlighters,Highlighters,Multiple
